id,lemma,norm,clean,date,lang_area,lang_type,place,title
86798000,Zauberer,Zauberer,zauberer,1482,obd,enhg,Augsburg,BuchDerNatur
86800746,Schreiber,Schreiber,schreyber,1482,obd,enhg,Augsburg,BuchDerNatur
86816074,Zauberer,Zauberer,zauberer,1482,obd,enhg,Augsburg,BuchDerNatur
86834387,Sünder,Sünder,sünder,1482,obd,enhg,Augsburg,BuchDerNatur
87479036,Schöpfer,Schöpfer,schöpfer,1487,obd,enhg,Ulm,GartDerGesundheit
87481950,Schöpfer,Schöpfer,schöpffer,1487,obd,enhg,Ulm,GartDerGesundheit
87482680,Schöpfer,Schöpfer,schöpffer,1487,obd,enhg,Ulm,GartDerGesundheit
87485226,Maler,Maler,maler,1487,obd,enhg,Ulm,GartDerGesundheit
87489154,Schöpfer,Schöpfer,schöpfer,1487,obd,enhg,Ulm,GartDerGesundheit
87563009,Zeiger,Zeiger,zaiger,1487,obd,enhg,Ulm,GartDerGesundheit
87601777,Lehrer,Lehrer,lerer,1487,obd,enhg,Ulm,GartDerGesundheit
87600899,Gärtner,Gärtnern,gärtnern,1487,obd,enhg,Ulm,GartDerGesundheit
86657498,Frierer,Frierer,fryrer,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86667905,Zeiger,Zeiger,zeyger,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86846118,Persier,Persier,Persier,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86855248,Bettler,Bettler,betteler,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86874693,Lehrer,Lehrer,leerer,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86889817,Weber,Weber,Weber,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86904789,Spanier,Spanier,Spaniöler,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86913939,Apotheker,Apotheker,Apothecker,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86948699,Afrikaner,Afrikaner,Aphricaner,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86966054,Schwärmer,Landschwärmer,landtschwörmer,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86970513,Römer,Römer,Römer,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86979257,Ausleger,Ausleger,auszleger,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86992299,Buchhalter,Buchhalter,Buchhalter,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
86993918,Leser,Leser,Leszer,1532,md,enhg,Straßburg,ContrafaytKreuterbuch
