"lemma","frequency"
"Österreicher",1
"Ägypter",1
"Afrikaner",1
"Algesheimer",1
"Überwinder",2
"Apotheker",17
"Araber",4
"Ausläufer",4
"Ausleger",2
"Balbierer",1
"Bayer",1
"Begleiter",1
"Behälter",4
"Beobachter",1
"Beschätzer",1
"Betrüger",1
"Bettler",1
"Bewohner",1
"Blümler",9
"Blütler",2
"Botaniker",14
"Brecher",1
"Buchhalter",1
"Deutzer",1
"Dichter",2
"Diener",1
"Einwohner",2
"Entdecker",2
"Erlöser",1
"Fehler",7
"Forscher",5
"Früchtler",1
"Frierer",1
"Gänger",1
"Gärtner",15
"Gräber",5
"Grenzwälder",1
"Hümpler",1
"Herrscher",1
"Heuchler",3
"Italiener",9
"Jäger",1
"Köcher",1
"Künstler",1
"Koblenzer",1
"Krämer",1
"Kräutler",5
"Kutscher",1
"Läufer",1
"Lateiner",1
"Lehrer",5
"Leser",20
"Liebhaber",3
"Macher",2
"Maler",2
"Mittler",1
"Montabaurer",1
"Nachfolger",1
"Passauer",1
"Persier",1
"Pflanzer",2
"Pharisäer",2
"Prediger",1
"Räumer",1
"Römer",8
"Radeburger",1
"Reiser",2
"Retter",1
"Sünder",3
"Sammler",2
"Savojer",3
"Schäfer",2
"Schöpfer",4
"Schlachter",1
"Schlosser",1
"Schneeberger",1
"Schneider",1
"Schreiber",1
"Schriftsteller",2
"Schwärmer",1
"Schweizer",1
"Spanier",1
"Splitter",3
"Straßburger",1
"Streicher",1
"Töpfer",2
"Tadler",1
"Tiroler",1
"Träger",16
"Tridentiner",1
"Troianer",1
"Tyroler",1
"Verfasser",4
"Vorgänger",1
"Vorläufer",1
"Vorsteher",1
"Würger",1
"Waldenburger",1
"Weber",1
"Wittlinger",1
"Wurzeler",1
"Zünder",1
"Zauberer",3
"Zeiger",2
"Zunder",1
