"title","lemma","frequency"
"BuchDerNatur","Sünder",1
"BuchDerNatur","Schreiber",1
"BuchDerNatur","Zauberer",2
"GartDerGesundheit","Gärtner",1
"GartDerGesundheit","Lehrer",1
"GartDerGesundheit","Maler",1
"GartDerGesundheit","Schöpfer",4
"GartDerGesundheit","Zeiger",1
"ArtzneyBuchleinDerKreutter","Frierer",1
"ArtzneyBuchleinDerKreutter","Zeiger",1
"ContrafaytKreuterbuch","Afrikaner",1
"ContrafaytKreuterbuch","Apotheker",2
"ContrafaytKreuterbuch","Ausleger",1
"ContrafaytKreuterbuch","Bettler",1
"ContrafaytKreuterbuch","Buchhalter",1
"ContrafaytKreuterbuch","Gänger",1
"ContrafaytKreuterbuch","Hümpler",1
"ContrafaytKreuterbuch","Läufer",1
"ContrafaytKreuterbuch","Lehrer",1
"ContrafaytKreuterbuch","Leser",1
"ContrafaytKreuterbuch","Persier",1
"ContrafaytKreuterbuch","Römer",2
"ContrafaytKreuterbuch","Schwärmer",1
"ContrafaytKreuterbuch","Spanier",1
"ContrafaytKreuterbuch","Weber",1
"ContrafaytKreuterbuch","Wurzeler",1
"NewKreuetterBuch","Ägypter",1
"NewKreuetterBuch","Apotheker",4
"NewKreuetterBuch","Araber",1
"NewKreuetterBuch","Ausleger",1
"NewKreuetterBuch","Brecher",1
"NewKreuetterBuch","Gärtner",2
"NewKreuetterBuch","Krämer",1
"NewKreuetterBuch","Leser",1
"NewKreuetterBuch","Römer",1
"NewKreuetterBuch","Reiser",2
"NewKreuetterBuch","Schäfer",1
"NewKreuetterBuch","Schweizer",1
"NewKreuetterBuch","Troianer",1
"NewKreuetterbbuch","Apotheker",5
"NewKreuetterbbuch","Kräutler",2
"WieSichMeniglich","Balbierer",1
"WieSichMeniglich","Gräber",1
"WieSichMeniglich","Leser",5
"WieSichMeniglich","Tadler",1
"NewKreueterbuch","Apotheker",1
"NewKreueterbuch","Jäger",1
"NewKreueterbuch","Schäfer",1
"Paradeiszgaertlein","Erlöser",1
"Paradeiszgaertlein","Gärtner",1
"Paradeiszgaertlein","Heuchler",3
"Paradeiszgaertlein","Lehrer",3
"Paradeiszgaertlein","Mittler",1
"Paradeiszgaertlein","Pharisäer",2
"Paradeiszgaertlein","Retter",1
"Paradeiszgaertlein","Sünder",2
"AlchymistischePractic","Apotheker",1
"AlchymistischePractic","Leser",2
"AlchymistischePractic","Töpfer",1
"HortulusSanitatis","Araber",1
"HortulusSanitatis","Betrüger",1
"HortulusSanitatis","Fehler",1
"HortulusSanitatis","Italiener",5
"HortulusSanitatis","Tridentiner",1
"PflantzGart","Beschätzer",1
"PflantzGart","Fehler",4
"PflantzGart","Leser",6
"PflantzGart","Liebhaber",2
"PflantzGart","Pflanzer",2
"PflantzGart","Räumer",1
"PflantzGart","Römer",4
"Wund-Artzney","Araber",2
"Wund-Artzney","Diener",1
"Wund-Artzney","Einwohner",1
"Wund-Artzney","Gräber",4
"Wund-Artzney","Lateiner",1
"Wund-Artzney","Macher",2
"Wund-Artzney","Nachfolger",1
"Wund-Artzney","Träger",1
"Phythologia","Splitter",1
"ThesaurusSanitatis","Schlachter",1
"ThesaurusSanitatis","Zünder",1
"SonderbaresKraeuterbuch","Splitter",1
"SchweizerischerBotanicus","Gärtner",4
"SchweizerischerBotanicus","Italiener",1
"SchweizerischerBotanicus","Leser",1
"SchweizerischerBotanicus","Passauer",1
"SchweizerischerBotanicus","Straßburger",1
"TheatrumBotanicum","Überwinder",2
"TheatrumBotanicum","Apotheker",1
"TheatrumBotanicum","Römer",1
"ViridariumReformatum","Italiener",2
"ViridariumReformatum","Prediger",1
"FloraSaturnizans","Künstler",1
"FloraSaturnizans","Leser",2
"FloraSaturnizans","Maler",1
"FloraSaturnizans","Radeburger",1
"FloraSaturnizans","Vorgänger",1
"FloraSaturnizans","Waldenburger",1
"FloraSaturnizans","Zunder",1
"MysterivmSigillorvm","Leser",1
"MysterivmSigillorvm","Zauberer",1
"BlackwellischesKraeuterbuch","Grenzwälder",1
"Unterricht","Einwohner",1
"Unterricht","Gärtner",1
"Unterricht","Savojer",3
"Unterricht","Splitter",1
"GrundrissKraeuterkunde","Entdecker",1
"GrundrissKraeuterkunde","Forscher",3
"Apothekerlexikon","Beobachter",1
"GetreueDarstellungUndBeschreibung","Botaniker",1
"Flora-7","Österreicher",1
"Flora-7","Apotheker",1
"Flora-7","Bayer",1
"Flora-7","Botaniker",1
"Flora-7","Fehler",1
"Flora-7","Tiroler",1
"Flora-6","Bewohner",1
"Flora-6","Botaniker",1
"Flora-6","Fehler",1
"EigenschaftenAllerHeilpflanzen","Italiener",1
"NochEinigeWorte","Behälter",1
"NochEinigeWorte","Botaniker",1
"NochEinigeWorte","Gärtner",4
"NochEinigeWorte","Leser",1
"NochEinigeWorte","Liebhaber",1
"NochEinigeWorte","Schriftsteller",1
"NochEinigeWorte","Träger",12
"VorlesungenUeberKraeuterkunde","Behälter",3
"VorlesungenUeberKraeuterkunde","Botaniker",3
"VorlesungenUeberKraeuterkunde","Dichter",2
"VorlesungenUeberKraeuterkunde","Gärtner",1
"VorlesungenUeberKraeuterkunde","Kutscher",1
"VorlesungenUeberKraeuterkunde","Schriftsteller",1
"VorlesungenUeberKraeuterkunde","Verfasser",2
"GrossesIllustriertesKraeuterbuch","Blümler",5
"GrossesIllustriertesKraeuterbuch","Blütler",1
"GrossesIllustriertesKraeuterbuch","Würger",1
"GrossesIllustriertesKraeuterbuch","Wittlinger",1
"DeutschePflanzennamen","Apotheker",1
"DeutschePflanzennamen","Blümler",1
"DeutschePflanzennamen","Botaniker",5
"DeutschePflanzennamen","Forscher",2
"DeutschePflanzennamen","Früchtler",1
"DeutschePflanzennamen","Herrscher",1
"DeutschePflanzennamen","Köcher",1
"DeutschePflanzennamen","Kräutler",3
"DeutschePflanzennamen","Sammler",2
"DeutschePflanzennamen","Schlosser",1
"DeutschePflanzennamen","Töpfer",1
"DeutschePflanzennamen","Verfasser",1
"DeutschePflanzennamen","Vorläufer",1
"FloraDerPreussischenRheinlande","Algesheimer",1
"FloraDerPreussischenRheinlande","Ausläufer",3
"FloraDerPreussischenRheinlande","Botaniker",2
"FloraDerPreussischenRheinlande","Deutzer",1
"FloraDerPreussischenRheinlande","Entdecker",1
"FloraDerPreussischenRheinlande","Koblenzer",1
"FloraDerPreussischenRheinlande","Montabaurer",1
"FloraDerPreussischenRheinlande","Träger",3
"FloraDerPreussischenRheinlande","Verfasser",1
"FloraDerPreussischenRheinlande","Vorsteher",1
"GemeinnuetzigesKraeuterbuch","Apotheker",1
"GemeinnuetzigesKraeuterbuch","Blümler",3
"GemeinnuetzigesKraeuterbuch","Blütler",1
"GemeinnuetzigesKraeuterbuch","Streicher",1
"Kraeuterbuch","Ausläufer",1
"Kraeuterbuch","Begleiter",1
"Kraeuterbuch","Gärtner",1
"Kraeuterbuch","Schneeberger",1
"Kraeuterbuch","Schneider",1
"Kraeuterbuch","Tyroler",1
