"title","lemma","frequency"
"BuchDerNatur","Überflüssigkeit",2
"BuchDerNatur","Üppigkeit",1
"BuchDerNatur","Bitterkeit",1
"BuchDerNatur","Bosheit",1
"BuchDerNatur","Ebenmäßigkeit",1
"BuchDerNatur","Eigenheit",2
"BuchDerNatur","Falschheit",1
"BuchDerNatur","Feuchtigkeit",2
"BuchDerNatur","Gewohnheit",1
"BuchDerNatur","Grobheit",1
"BuchDerNatur","Heiligkeit",1
"BuchDerNatur","Heimlichheit",1
"BuchDerNatur","Heimlichkeit",2
"BuchDerNatur","Krankheit",1
"BuchDerNatur","Reudigkeit",1
"BuchDerNatur","Sauberkeit",2
"BuchDerNatur","Schäbigkeit",1
"BuchDerNatur","Trunkenheit",1
"BuchDerNatur","Wahrheit",1
"GartDerGesundheit","Aussätzigkeit",2
"GartDerGesundheit","Bitterkeit",2
"GartDerGesundheit","Fährlichkeit",2
"GartDerGesundheit","Feuchtigkeit",18
"GartDerGesundheit","Fruchtbarkeit",1
"GartDerGesundheit","Geheuerlichkeit",1
"GartDerGesundheit","Gesundheit",7
"GartDerGesundheit","Großheit",1
"GartDerGesundheit","Krankheit",14
"GartDerGesundheit","Ohnmächtigkeit",3
"GartDerGesundheit","Räudigkeit",1
"GartDerGesundheit","Reinigkeit",3
"GartDerGesundheit","Sonderheit",1
"GartDerGesundheit","Trockenheit",1
"GartDerGesundheit","Trunkenheit",1
"ArtzneyBuchleinDerKreutter","Allmächtigkeit",1
"ArtzneyBuchleinDerKreutter","Feuchtigkeit",8
"ArtzneyBuchleinDerKreutter","Gutheit",3
"ArtzneyBuchleinDerKreutter","Keuschheit",8
"ArtzneyBuchleinDerKreutter","Krankheit",10
"ArtzneyBuchleinDerKreutter","Räudigkeit",1
"ArtzneyBuchleinDerKreutter","Reinigkeit",2
"ArtzneyBuchleinDerKreutter","Sauberkeit",1
"ArtzneyBuchleinDerKreutter","Traurigkeit",1
"ContrafaytKreuterbuch","Bescheidenheit",1
"ContrafaytKreuterbuch","Dunkelheit",1
"ContrafaytKreuterbuch","Ewigkeit",1
"ContrafaytKreuterbuch","Feuchtigkeit",13
"ContrafaytKreuterbuch","Fruchtbarkeit",1
"ContrafaytKreuterbuch","Härtigkeit",1
"ContrafaytKreuterbuch","Hochwürdigkeit",1
"ContrafaytKreuterbuch","Keuschheit",2
"ContrafaytKreuterbuch","Krankheit",5
"ContrafaytKreuterbuch","Müdigkeit",1
"ContrafaytKreuterbuch","Nutzbarkeit",1
"ContrafaytKreuterbuch","Räudigkeit",1
"ContrafaytKreuterbuch","Süßigkeit",1
"ContrafaytKreuterbuch","Sonderheit",1
"ContrafaytKreuterbuch","Sterblichkeit",1
"ContrafaytKreuterbuch","Subtiligkeit",1
"ContrafaytKreuterbuch","Trockenheit",1
