"lemma","frequency"
"Öffnung",3
"Änderung",1
"Äußerung",1
"Abänderung",4
"Abbildung",10
"Abhandlung",5
"Abkochung",6
"Ableitung",2
"Abmalung",2
"Abmessung",1
"Abnehmung",2
"Abschnürung",1
"Abstammung",1
"Abstoßung",1
"Abstufung",1
"Abteilung",31
"Abwandlung",1
"Abwechslung",1
"Abweichung",6
"Abwendung",1
"Abwerfung",1
"Abziehung",1
"Achtung",8
"Andeutung",10
"Anfügung",1
"Anhäufung",1
"Anknüpfung",2
"Anleitung",1
"Anmerkung",1
"Annäherung",3
"Anordnung",3
"Anrühmung",1
"Anregung",1
"Anschauung",2
"Anschoppung",1
"Anschwellung",1
"Ansehung",2
"Anstellung",1
"Anstrengung",1
"Anwendung",20
"Anzeigung",1
"Anziehung",2
"Übereinstimmung",2
"Überfüllung",2
"Übersetzung",4
"Übersiedlung",1
"Übertragung",12
"Übung",3
"Atmung",1
"Aufachtung",3
"Aufblähung",7
"Aufenthaltung",2
"Auffung",1
"Auflösung",4
"Aufmerkung",1
"Aufsüßung",1
"Aufsaugung",2
"Aufsteigung",1
"Aufstellung",1
"Aufwallung",1
"Ausbildung",16
"Ausbreitung",1
"Ausdünstung",1
"Ausdehnung",5
"Ausführung",1
"Ausfallung",2
"Ausgießung",1
"Ausgleichung",1
"Auslaugung",2
"Ausleerung",1
"Auslegung",2
"Ausscheidung",1
"Aussonderung",1
"Ausstellung",1
"Ausstreuung",1
"Austeilung",1
"Austretung",1
"Ausweisung",1
"Bähung",2
"Böschung",1
"Bedeckung",4
"Bedeutung",15
"Bedingung",2
"Beförderung",3
"Befruchtung",25
"Begattung",3
"Begießung",1
"Begründung",2
"Begrenzung",1
"Behandlung",3
"Behauptung",1
"Behausung",3
"Bekleidung",4
"Belebung",1
"Beleidigung",1
"Bemühung",1
"Bemerkung",3
"Benennung",69
"Beobachtung",23
"Berücksichtigung",1
"Berührung",4
"Bereisung",1
"Bereitung",7
"Berichtigung",2
"Besatzung",1
"Beschädigung",2
"Beschattung",1
"Beschirmung",1
"Beschreibung",21
"Beschwerung",9
"Besserung",2
"Bestätigung",2
"Bestäubung",3
"Bestimmung",3
"Bestopfung",9
"Bestreichung",1
"Betrachtung",3
"Beurteilung",2
"Bewegung",11
"Beweisung",2
"Bezauberung",1
"Bezeichnung",7
"Bezeugung",1
"Beziehung",4
"Bildung",56
"Blähung",7
"Blutung",1
"Dämpfung",1
"Düngung",1
"Darstellung",16
"Dauung",12
"Destillierung",2
"Deutung",2
"Durchwandrung",1
"Einfügung",2
"Einleitung",2
"Einreibung",2
"Einrichtung",1
"Einsammlung",1
"Einsaugung",2
"Einteilung",3
"Einwirkung",5
"Eiterung",1
"Empfangung",1
"Empfehlung",1
"Empfindung",9
"Endung",21
"Entblößung",1
"Entdeckung",5
"Entfaltung",1
"Entfernung",2
"Entmischung",1
"Entscheidung",1
"Entschuldigung",1
"Entstehung",1
"Entstellung",1
"Entwerfung",1
"Entwicklung",24
"Entzündung",25
"Entziehung",2
"Erdichtung",1
"Erfahrung",20
"Erforschung",1
"Ergötzung",2
"Ergießung",1
"Erhöhung",2
"Erhaltung",2
"Erinnerung",3
"Erklärung",10
"Erkundigung",1
"Erläuterung",1
"Erleuchtung",1
"Ermüdung",1
"Ermangelung",1
"Ernährung",1
"Erregung",1
"Erschütterung",6
"Erschüttung",1
"Erscheinung",13
"Erweichung",1
"Erzählung",3
"Erzeugung",5
"Färbung",3
"Fäulung",16
"Füllung",1
"Fertigung",1
"Feststellung",4
"Feuchtung",13
"Forschung",2
"Fortpflanzung",5
"Fristung",1
"Gährung",1
"Gärung",4
"Gattung",271
"Gebung",5
"Gestaltung",2
"Höhlung",1
"Haltung",1
"Heilung",6
"Hemmung",1
"Hervorbildung",1
"Hinlegung",1
"Hinzufügung",3
"Hoffnung",3
"Hornung",4
"Irrung",1
"Kühlung",4
"Kitzelung",1
"Konterfeiung",1
"Kristallisierung",1
"Lähmung",9
"Läuterung",1
"Löschung",2
"Labung",1
"Lesung",1
"Linderung",1
"Losreißung",1
"Mästung",2
"Mündung",13
"Machung",5
"Mannigfaltigung",1
"Martung",1
"Meinung",32
"Meldung",2
"Messung",1
"Mischung",7
"Mitteilung",2
"Mutmaßung",1
"Nachahmung",1
"Nachbildung",1
"Nachrichtung",1
"Nahrung",22
"Neigung",6
"Nutzung",2
"Ordnung",23
"Pflanzung",8
"Pfropfung",1
"Purgierung",1
"Quetschung",6
"Rechnung",1
"Rechtfertigung",1
"Reifung",1
"Reinigung",16
"Reizung",1
"Rektifizierung",2
"Richtung",15
"Ringerung",1
"Sähung",2
"Sättigung",2
"Säuerung",3
"Süchtung",3
"Sammlung",9
"Schärfung",1
"Schätzung",1
"Schöpfung",1
"Schürfung",1
"Scheidung",3
"Schwierung",1
"Sonderung",1
