"title","lemma","frequency"
"BuchDerNatur","Blähung",1
"BuchDerNatur","Meinung",1
"BuchDerNatur","Mischung",2
"BuchDerNatur","Nahrung",8
"BuchDerNatur","Verstopfung",3
"GartDerGesundheit","Abnehmung",1
"GartDerGesundheit","Aufmerkung",1
"GartDerGesundheit","Ausfallung",2
"GartDerGesundheit","Bestopfung",8
"GartDerGesundheit","Dämpfung",1
"GartDerGesundheit","Durchwandrung",1
"GartDerGesundheit","Entwerfung",1
"GartDerGesundheit","Ergötzung",1
"GartDerGesundheit","Füllung",1
"GartDerGesundheit","Feuchtung",13
"GartDerGesundheit","Hoffnung",1
"GartDerGesundheit","Kitzelung",1
"GartDerGesundheit","Konterfeiung",1
"GartDerGesundheit","Meinung",1
"GartDerGesundheit","Ordnung",2
"GartDerGesundheit","Reizung",1
"GartDerGesundheit","Säuerung",1
"GartDerGesundheit","Süchtung",3
"GartDerGesundheit","Schärfung",1
"GartDerGesundheit","Speisung",1
"GartDerGesundheit","Stärkung",2
"GartDerGesundheit","Stopfung",1
"GartDerGesundheit","Teuerung",1
"GartDerGesundheit","Vergiftigung",1
"GartDerGesundheit","Verhärtung",1
"GartDerGesundheit","Vermischung",1
"GartDerGesundheit","Verstopfung",2
"ArtzneyBuchleinDerKreutter","Abnehmung",1
"ArtzneyBuchleinDerKreutter","Bestopfung",1
"ArtzneyBuchleinDerKreutter","Dauung",3
"ArtzneyBuchleinDerKreutter","Erleuchtung",1
"ArtzneyBuchleinDerKreutter","Fäulung",3
"ArtzneyBuchleinDerKreutter","Fristung",1
"ArtzneyBuchleinDerKreutter","Mischung",1
"ArtzneyBuchleinDerKreutter","Ordnung",1
"ArtzneyBuchleinDerKreutter","Purgierung",1
"ArtzneyBuchleinDerKreutter","Schürfung",1
"ArtzneyBuchleinDerKreutter","Stärkung",2
"ArtzneyBuchleinDerKreutter","Vertreibung",1
"ContrafaytKreuterbuch","Anzeigung",1
"ContrafaytKreuterbuch","Übung",1
"ContrafaytKreuterbuch","Bereitung",1
"ContrafaytKreuterbuch","Beschreibung",8
"ContrafaytKreuterbuch","Blähung",1
"ContrafaytKreuterbuch","Dauung",1
