id,lemma,norm,clean,date,lang_area,lang_type,place,title
86793860,Eigenheit,Eigenheiten,eigenheyten,1482,obd,enhg,Augsburg,BuchDerNatur
86798669,Heiligkeit,Heiligkeit,heyligkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86801068,Eigenheit,Eigenheit,eigenheyt,1482,obd,enhg,Augsburg,BuchDerNatur
86801500,Grobheit,Grobheit,grobheit,1482,obd,enhg,Augsburg,BuchDerNatur
86801625,Bitterkeit,Bitterkeit,pitterkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86805173,Heimlichheit,Heimlichkeit,heimlichheyt,1482,obd,enhg,Augsburg,BuchDerNatur
86807039,Sauberkeit,Unsauberkeit,vnsauberkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86807378,Sauberkeit,Unsauberkeiten,vnsauberkeiten,1482,obd,enhg,Augsburg,BuchDerNatur
86807777,Überflüssigkeit,Überflüssigkeit,überflüssigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86807880,Heimlichkeit,Heimlichkeit,heimlichkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86808693,Schäbigkeit,Schäbigkeit,schebigkeyt,1482,obd,enhg,Augsburg,BuchDerNatur
86808719,Reudigkeit,Reudigkeit,reüdigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86811839,Gewohnheit,Gewohnheit,gewonheyt,1482,obd,enhg,Augsburg,BuchDerNatur
86811865,Heimlichkeit,Heimlichkeit,heimlichkeyt,1482,obd,enhg,Augsburg,BuchDerNatur
86813095,Feuchtigkeit,Feuchtigkeit,feüchtigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86813490,Ebenmäßigkeit,Ebenmäßigkeit,ebenmessigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86814504,Überflüssigkeit,Überflüssigkeit,überflüssigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86827843,Feuchtigkeit,Feuchtigkeit,feüchtigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86830555,Krankheit,Krankheit,kranckheyt,1482,obd,enhg,Augsburg,BuchDerNatur
86834512,Bosheit,Bosheit,boszheyt,1482,obd,enhg,Augsburg,BuchDerNatur
86834943,Falschheit,Falschheit,falscheit,1482,obd,enhg,Augsburg,BuchDerNatur
86834963,Üppigkeit,Üppigkeit,üpigkeit,1482,obd,enhg,Augsburg,BuchDerNatur
86835058,Wahrheit,Wahrheit,warheyt,1482,obd,enhg,Augsburg,BuchDerNatur
86836275,Trunkenheit,Trunkenheit,trunckenheyt,1482,obd,enhg,Augsburg,BuchDerNatur
87479592,Feuchtigkeit,Feuchtigkeit,feüchtigkait,1487,obd,enhg,Ulm,GartDerGesundheit
87479609,Trockenheit,Trockenheit,truckenhait,1487,obd,enhg,Ulm,GartDerGesundheit
87480434,Feuchtigkeit,Feuchtigkeit,feüchtikait,1487,obd,enhg,Ulm,GartDerGesundheit
87480468,Feuchtigkeit,Feuchtigkeit,feüchtigkait,1487,obd,enhg,Ulm,GartDerGesundheit
87480586,Krankheit,Krankheit,kranckhait,1487,obd,enhg,Ulm,GartDerGesundheit
87480790,Gesundheit,Gesundheit,gesunthait,1487,obd,enhg,Ulm,GartDerGesundheit
87481011,Reinigkeit,Reinigkeit,rainikait,1487,obd,enhg,Ulm,GartDerGesundheit
87481608,Krankheit,Krankheit,kranckhait,1487,obd,enhg,Ulm,GartDerGesundheit
87481718,Fährlichkeit,Fährlichkeit,färlichait,1487,obd,enhg,Ulm,GartDerGesundheit
87481786,Gesundheit,Gesundheit,gesunthait,1487,obd,enhg,Ulm,GartDerGesundheit
87482013,Fährlichkeit,Fährlichkeit,färlichait,1487,obd,enhg,Ulm,GartDerGesundheit
87482930,Gesundheit,Gesundheit,gesunthait,1487,obd,enhg,Ulm,GartDerGesundheit
87483146,Gesundheit,Gesundheit,gesunthait,1487,obd,enhg,Ulm,GartDerGesundheit
87486823,Gesundheit,Gesundheit,gesunthait,1487,obd,enhg,Ulm,GartDerGesundheit
87487041,Gesundheit,Gesundheit,gesunthait,1487,obd,enhg,Ulm,GartDerGesundheit
87488694,Krankheit,Krankheiten,kranckheiten,1487,obd,enhg,Ulm,GartDerGesundheit
