"date","subset","tokens","types","hapaxes","pp","ttr"
1482,"BuchDerNatur",24,19,14,0.583333333333333,0.791666666666667
1487,"GartDerGesundheit",58,15,7,0.120689655172414,0.258620689655172
1532,"ArtzneyBuchleinDerKreutter",35,9,4,0.114285714285714,0.257142857142857
1532,"ContrafaytKreuterbuch",38,20,16,0.421052631578947,0.526315789473684
1539,"NewKreuetterBuch",14,8,3,0.214285714285714,0.571428571428571
1543,"NewKreuetterbbuch",17,8,3,0.176470588235294,0.470588235294118
1557,"WieSichMeniglich",6,5,4,0.666666666666667,0.833333333333333
1563,"NewKreueterbuch",11,9,7,0.636363636363636,0.818181818181818
1588,"Paradeiszgaertlein",26,12,7,0.269230769230769,0.461538461538462
1603,"AlchymistischePractic",5,4,3,0.6,0.8
1609,"HortulusSanitatis",13,8,6,0.461538461538462,0.615384615384615
1609,"KraeuterbuchDesEdelen",12,4,1,0.0833333333333333,0.333333333333333
1639,"PflantzGart",42,17,10,0.238095238095238,0.404761904761905
1652,"Wund-Artzney",28,12,7,0.25,0.428571428571429
1662,"Phythologia",1,1,1,1,1
1673,"ThesaurusSanitatis",24,6,4,0.166666666666667,0.25
1675,"SonderbaresKraeuterbuch",29,8,3,0.103448275862069,0.275862068965517
1687,"SchweizerischerBotanicus",NA,NA,NA,NA,NA
1696,"TheatrumBotanicum",7,4,2,0.285714285714286,0.571428571428571
1719,"ViridariumReformatum",13,7,3,0.230769230769231,0.538461538461538
1722,"FloraSaturnizans",18,9,7,0.388888888888889,0.5
1735,"MysterivmSigillorvm",35,10,4,0.114285714285714,0.285714285714286
1750,"BlackwellischesKraeuterbuch",8,6,4,0.5,0.75
1764,"EinleitungZuDerKraeuterkenntnisz",10,3,1,0.1,0.3
1774,"Unterricht",4,3,2,0.5,0.75
1792,"GrundrissKraeuterkunde",24,8,3,0.125,0.333333333333333
1793,"Apothekerlexikon",15,9,6,0.4,0.6
1809,"GetreueDarstellungUndBeschreibung",2,1,0,0,0.5
1821,"Flora-7",6,6,6,1,1
1821,"Flora-6",2,2,2,1,1
1828,"EigenschaftenAllerHeilpflanzen",22,7,3,0.136363636363636,0.318181818181818
1840,"NochEinigeWorte",23,12,7,0.304347826086957,0.521739130434783
1843,"VorlesungenUeberKraeuterkunde",22,11,7,0.318181818181818,0.5
1860,"GrossesIllustriertesKraeuterbuch",5,4,3,0.6,0.8
1870,"DeutschePflanzennamen",24,17,12,0.5,0.708333333333333
1870,"FloraDerPreussischenRheinlande",6,5,4,0.666666666666667,0.833333333333333
1874,"GemeinnuetzigesKraeuterbuch",13,9,6,0.461538461538462,0.692307692307692
1887,"NatuerlichePflanzenfamilien",1,1,1,1,1
1914,"Kraeuterbuch",9,2,0,0,0.222222222222222
