"step","n.seen","mean","lower","upper"
1,13,0.778230769230769,0.461538461538462,1
2,26,0.629807692307692,0.423076923076923,0.846153846153846
3,39,0.545679487179487,0.358974358974359,0.717948717948718
4,52,0.487298076923077,0.346153846153846,0.634615384615385
5,65,0.444861538461538,0.323076923076923,0.569230769230769
6,78,0.412576923076923,0.307692307692308,0.512820512820513
7,91,0.387857142857143,0.296703296703297,0.483516483516484
8,104,0.366153846153846,0.278846153846154,0.451923076923077
9,117,0.347901709401709,0.273504273504274,0.427350427350427
10,130,0.332557692307692,0.261538461538462,0.4
11,143,0.319332167832168,0.258741258741259,0.384615384615385
12,156,0.306727564102564,0.25,0.365384615384615
13,169,0.295739644970414,0.242603550295858,0.349112426035503
14,182,0.286008241758242,0.236263736263736,0.335164835164835
15,195,0.276871794871795,0.230769230769231,0.317948717948718
16,208,0.268471153846154,0.230769230769231,0.307692307692308
17,221,0.260755656108597,0.226244343891403,0.294117647058824
18,234,0.253801282051282,0.226495726495726,0.282051282051282
19,247,0.247465587044534,0.222672064777328,0.271255060728745
20,260,0.241780769230769,0.223076923076923,0.257692307692308
