"step","n.seen","successes","failures","outliers","data.pts"
1,13,1600,400,157,1443
2,26,1581,419,335,1246
3,39,1764,236,296,1468
4,52,1729,271,269,1460
5,65,1726,274,266,1460
6,78,1766,234,294,1472
7,91,1753,247,269,1484
8,104,1743,257,254,1489
9,117,1726,274,235,1491
10,130,1688,312,210,1478
11,143,1693,307,192,1501
12,156,1677,323,185,1492
13,169,1706,294,182,1524
14,182,1688,312,173,1515
15,195,1693,307,161,1532
16,208,1698,302,159,1539
17,221,1763,237,132,1631
18,234,1804,196,120,1684
19,247,1911,89,127,1784
20,260,1990,10,95,1895
