"step","n.seen","mean","lower","upper"
1,13,10258.4716116669,29.2489290441142,21192.0555534823
2,26,2177.26126164298,43.3226534459476,20502.3096477583
3,39,338.565352755614,64.8116740252023,1654.8764854664
4,52,303.435716901799,76.9722118742715,1124.83002130078
5,65,313.865025311489,90.7784907985862,1016.6753086179
6,78,314.92830325857,103.741556150655,959.14110169405
7,91,323.53660473438,117.297592193016,950.162038408656
8,104,327.542292874446,129.790341287234,874.13853242813
9,117,333.701566690038,137.509289027245,840.018480944488
10,130,333.049946677924,153.485982201357,770.190474630409
11,143,335.020184202258,155.887950419549,757.888658421205
12,156,338.954088721004,165.510184627371,722.327227405153
13,169,343.197021752494,183.061260490692,714.091030155779
14,182,338.239101270371,191.822316787038,629.862318365345
15,195,346.898353046721,204.924265333128,642.259725200479
16,208,350.108234458379,213.36918952279,609.189543194718
17,221,361.127098214326,229.669170069417,635.761512956976
18,234,367.218689061017,239.946090464677,601.62971127313
19,247,370.271502709945,257.940929573167,554.046943323279
20,260,375.25262887829,297.527518848769,517.637872852297
