"step","n.seen","mean","lower","upper"
1,13,24983491058126.7,29.2489290441142,305701528970041
2,26,7.98771734430921e+57,43.3226534459476,1175260550763610
3,39,2.00225269369375e+84,65.3834551675394,188708414543223
4,52,25602107136340.4,81.0654481187746,113470935266297
5,65,6.51126870556342e+58,92.0771730863185,68034585477122.7
6,78,782268204141691,106.66335662304,33884855849550.5
7,91,4420505610813.05,117.297592193016,1829162728903.4
8,104,2209902846479.15,129.790341287234,116790.324702695
9,117,1118643936336.17,141.288752614211,86337.512079649
10,130,761228188790.697,157.301316359328,18485.3231318431
11,143,388511696702.228,156.7484228356,4163.64979451693
12,156,398993834450.907,169.48895688836,3803.46757003734
13,169,177202908657.12,181.606543559283,2305.2895326424
14,182,29402.5071972251,192.073949359236,2444.03249552485
15,195,608.366641438256,205.239652438219,1652.02750752063
16,208,19420354093.372,214.158895491459,1428.88243431332
17,221,718.368758208573,231.278005508277,1255.16448797436
18,234,427.090555621119,239.400431147744,911.041971577434
19,247,405.726806506036,262.778426382439,745.507087767213
20,260,384.773913977228,297.653336755475,578.197546914626
