"step","n.seen","mean","lower","upper"
1,32,0.477859375,0.3125,0.65625
2,64,0.3718125,0.265625,0.5
3,96,0.305322916666667,0.21875,0.395833333333333
4,128,0.25983984375,0.1875,0.3359375
5,160,0.22614375,0.16875,0.2875
6,192,0.201114583333333,0.151041666666667,0.25
7,224,0.182055803571429,0.138392857142857,0.227678571428571
8,256,0.166748046875,0.125,0.20703125
9,288,0.154380208333333,0.118055555555556,0.1875
10,320,0.144209375,0.1125,0.175
11,352,0.135299715909091,0.107954545454545,0.164772727272727
12,384,0.127694010416667,0.104166666666667,0.153645833333333
13,416,0.121099759615385,0.0985576923076923,0.144230769230769
14,448,0.115176339285714,0.0959821428571429,0.133928571428571
15,480,0.109882291666667,0.0916666666666667,0.127083333333333
16,512,0.1049833984375,0.08984375,0.12109375
17,544,0.100356617647059,0.0863970588235294,0.113970588235294
18,576,0.0961640625,0.0850694444444444,0.107638888888889
19,608,0.0924490131578947,0.0838815789473684,0.100328947368421
20,640,0.0888234375,0.084375,0.0921875
