"step","n.seen","successes","failures","outliers","data.pts"
1,32,1719,281,378,1341
2,64,1670,330,270,1400
3,96,1650,350,218,1432
4,128,1560,440,192,1368
5,160,1494,506,181,1313
6,192,1452,548,172,1280
7,224,1448,552,128,1320
8,256,1403,597,107,1296
9,288,1441,559,103,1338
10,320,1496,504,99,1397
11,352,1594,406,104,1490
12,384,1701,299,110,1591
13,416,1800,200,99,1701
14,448,1871,129,104,1767
15,480,1926,74,94,1832
16,512,1944,56,71,1873
17,544,1979,21,61,1918
18,576,1994,6,65,1929
19,608,1998,2,64,1934
20,640,2000,0,47,1953
