"step","n.seen","mean","lower","upper"
1,32,613382419561.564,45.5863189307614,10379931010330.5
2,64,237.900336023587,72.2705422812741,855.748530813395
3,96,202.342055318502,82.8750733360593,543.093524153451
4,128,190.666753195545,94.3929498626697,421.908925464091
5,160,179.890285789518,98.6123394118238,340.223473711227
6,192,180.184880756216,103.022294117506,323.139456847606
7,224,184.869287648372,110.826079940909,316.950858677386
8,256,188.363143399835,113.250235184099,305.891483184594
9,288,191.635553278877,119.798486019054,308.6980060094
10,320,193.479240923564,129.26381612756,294.58339652838
11,352,196.337170749954,136.064341095209,290.995734288815
12,384,199.556504988202,140.780730445038,284.713233254326
13,416,203.8782983442,149.412626375857,290.013342757421
14,448,207.244155875014,155.651480535735,282.476230158256
15,480,211.824916552778,159.733773953143,282.330230646054
16,512,216.110517326251,171.271133515214,279.006493324805
17,544,218.711540074845,176.431015791207,282.390300116895
18,576,221.120595596758,183.418893955205,272.283878951235
19,608,224.265552727698,193.345912847685,262.797959293194
20,640,226.858516826102,210.833726916143,246.090571733198
