"step","n.seen","mean","lower","upper"
1,32,7.09575900815224e+89,47.2151875273558,2237991258633596
2,64,1.303978210233e+52,72.9914807165375,75951460986694.3
3,96,2.3725676707681e+53,83.8773091590979,21432987524560.2
4,128,5.02250098680371e+37,96.0669208549303,1951364.95649784
5,160,1.26956321996544e+33,99.9214930345243,3201.62149722276
6,192,34956924746.4751,104.302555308724,1552.34356511125
7,224,13071730817.7739,111.06685701058,958.288715010616
8,256,10208903017.7836,114.001433328989,531.475747412803
9,288,2612980706.05426,121.227804951257,560.488861729124
10,320,2494.63501098046,129.772573815025,501.466417801029
11,352,2769075943.67824,136.502273782333,453.856957758388
12,384,4722.49537473364,142.921220763577,397.727982484199
13,416,3081.28867552939,149.952532318777,373.35788100032
14,448,5090.64337154321,158.389170469342,364.743608863268
15,480,2025.57733484067,160.154241700594,333.646057857547
16,512,754.329916819806,171.29541446044,319.363539809452
17,544,1607.96382435421,177.246907634188,306.78491663777
18,576,1742.10896839401,183.895810678563,297.989436400013
19,608,2111.60302807755,194.308411854208,279.698898281015
20,640,227.821888621058,211.157755590009,251.147714763644
