"step","n.seen","successes","failures","outliers","data.pts"
1,99,1732,268,226,1506
2,198,1636,364,147,1489
3,297,1548,452,98,1450
4,396,1487,513,77,1410
5,495,1471,529,70,1401
6,594,1442,558,58,1384
7,693,1465,535,49,1416
8,792,1438,562,47,1391
9,891,1454,546,56,1398
10,990,1533,467,56,1477
11,1089,1673,327,58,1615
12,1188,1839,161,35,1804
13,1287,1962,38,60,1902
14,1386,1990,10,55,1935
15,1485,1992,8,60,1932
16,1584,1994,6,62,1932
17,1683,2000,0,63,1937
18,1782,1998,2,51,1947
19,1881,2000,0,39,1961
20,1980,2000,0,73,1927
