"step","n.seen","mean","lower","upper"
1,99,552.820554107037,177.832227773919,1500.62878538737
2,198,439.006879716026,237.465460523982,776.279566254052
3,297,454.322277183357,288.851269887392,733.263241542825
4,396,473.347387154156,328.072567310438,698.828264010106
5,495,503.688406285763,372.447392116439,712.282903904601
6,594,531.599582415382,399.997715250609,726.871771077053
7,693,556.762454580708,431.1994371423,735.795622442327
8,792,576.306620353206,456.542730666668,742.08547664916
9,891,586.083953286411,477.714518256788,735.942805335913
10,990,598.603203096024,493.354974248718,747.350403643788
11,1089,611.28977084318,503.958598500705,752.548657915035
12,1188,626.986848051736,522.774279588654,767.064439270205
13,1287,645.225625135209,539.283542838195,782.071935657335
14,1386,666.001794379915,559.162521583928,795.615886394646
15,1485,690.174853975199,582.832567155704,815.233921948581
16,1584,711.115220371113,608.810930712962,845.156783824498
17,1683,725.817868307999,638.502820183539,836.247690512546
18,1782,743.763908787974,664.831483527187,837.686160749972
19,1881,758.645192671632,697.40610823234,828.211013734921
20,1980,779.087753564859,756.835103790204,804.037910683181
