"step","n.seen","mean","lower","upper"
1,99,4.70822060673235e+64,180.493778063444,95678.6819984329
2,198,86391880555.5958,239.18651580994,1940.28867373718
3,297,591.292325389628,293.914827751239,1039.56596215517
4,396,497.505367685002,328.245464713552,890.87133314509
5,495,525.691198496075,373.076886740945,882.563329841327
6,594,545.910932021426,401.475563140021,811.671231122503
7,693,1586.73526932247,430.719846360609,802.045826487883
8,792,3405.8900978604,456.747086851062,817.916343034187
9,891,2893.99772236989,476.405833808888,798.202758247269
10,990,7006.79329583664,495.748379551966,800.194733132523
11,1089,9741.20077791898,505.231930196591,822.013596142605
12,1188,6558.68519211308,523.243257066871,798.071042143971
13,1287,13029.6949333774,542.286511866438,850.599782593785
14,1386,8067.77024059707,557.557239309262,854.546681962451
15,1485,9028.20182799402,585.367485454334,872.995980476286
16,1584,12130.5584354996,608.4648082331,914.4843637761
17,1683,10229.6030513527,636.361294120194,883.528660860008
18,1782,12044.5621799972,663.801511358634,878.094474232711
19,1881,9567.64609225651,697.928684725613,849.257580277308
20,1980,13798.9753780472,756.625130035984,835.819942831629
