"lemma","frequency","rank"
"Leser",20,1
"Apotheker",17,2
"Träger",16,3
"Gärtner",15,4
"Botaniker",14,5
"Blümler",9,6
"Italiener",9,7
"Römer",8,8
"Fehler",7,9
"Forscher",5,10
"Gräber",5,11
"Kräutler",5,12
"Lehrer",5,13
"Araber",4,14
"Ausläufer",4,15
"Behälter",4,16
"Schöpfer",4,17
"Verfasser",4,18
"Heuchler",3,19
"Liebhaber",3,20
"Sünder",3,21
"Savojer",3,22
"Splitter",3,23
"Zauberer",3,24
"Überwinder",2,25
"Ausleger",2,26
"Blütler",2,27
"Dichter",2,28
"Einwohner",2,29
"Entdecker",2,30
"Macher",2,31
"Maler",2,32
"Pflanzer",2,33
"Pharisäer",2,34
"Reiser",2,35
"Sammler",2,36
"Schäfer",2,37
"Schriftsteller",2,38
"Töpfer",2,39
"Zeiger",2,40
"Österreicher",1,41
"Ägypter",1,42
"Afrikaner",1,43
"Algesheimer",1,44
"Balbierer",1,45
"Bayer",1,46
"Begleiter",1,47
"Beobachter",1,48
"Beschätzer",1,49
"Betrüger",1,50
"Bettler",1,51
"Bewohner",1,52
"Brecher",1,53
"Buchhalter",1,54
"Deutzer",1,55
"Diener",1,56
"Erlöser",1,57
"Früchtler",1,58
"Frierer",1,59
"Gänger",1,60
"Grenzwälder",1,61
"Hümpler",1,62
"Herrscher",1,63
"Jäger",1,64
"Köcher",1,65
"Künstler",1,66
"Koblenzer",1,67
"Krämer",1,68
"Kutscher",1,69
"Läufer",1,70
"Lateiner",1,71
"Mittler",1,72
"Montabaurer",1,73
"Nachfolger",1,74
"Passauer",1,75
"Persier",1,76
"Prediger",1,77
"Räumer",1,78
"Radeburger",1,79
"Retter",1,80
"Schlachter",1,81
"Schlosser",1,82
"Schneeberger",1,83
"Schneider",1,84
"Schreiber",1,85
"Schwärmer",1,86
"Schweizer",1,87
"Spanier",1,88
"Straßburger",1,89
"Streicher",1,90
"Tadler",1,91
"Tiroler",1,92
"Tridentiner",1,93
"Troianer",1,94
"Tyroler",1,95
"Vorgänger",1,96
"Vorläufer",1,97
"Vorsteher",1,98
"Würger",1,99
"Waldenburger",1,100
"Weber",1,101
"Wittlinger",1,102
"Wurzeler",1,103
"Zünder",1,104
"Zunder",1,105
