"title","lemma","frequency","rank"
"BuchDerNatur","Zauberer",2,1
"BuchDerNatur","Sünder",1,2
"BuchDerNatur","Schreiber",1,3
"GartDerGesundheit","Schöpfer",4,1
"GartDerGesundheit","Gärtner",1,2
"GartDerGesundheit","Lehrer",1,3
"GartDerGesundheit","Maler",1,4
"GartDerGesundheit","Zeiger",1,5
"ArtzneyBuchleinDerKreutter","Frierer",1,1
"ArtzneyBuchleinDerKreutter","Zeiger",1,2
"ContrafaytKreuterbuch","Apotheker",2,1
"ContrafaytKreuterbuch","Römer",2,2
"ContrafaytKreuterbuch","Afrikaner",1,3
"ContrafaytKreuterbuch","Ausleger",1,4
"ContrafaytKreuterbuch","Bettler",1,5
"ContrafaytKreuterbuch","Buchhalter",1,6
"ContrafaytKreuterbuch","Gänger",1,7
"ContrafaytKreuterbuch","Hümpler",1,8
"ContrafaytKreuterbuch","Läufer",1,9
"ContrafaytKreuterbuch","Lehrer",1,10
"ContrafaytKreuterbuch","Leser",1,11
"ContrafaytKreuterbuch","Persier",1,12
"ContrafaytKreuterbuch","Schwärmer",1,13
"ContrafaytKreuterbuch","Spanier",1,14
"ContrafaytKreuterbuch","Weber",1,15
"ContrafaytKreuterbuch","Wurzeler",1,16
"NewKreuetterBuch","Apotheker",4,1
"NewKreuetterBuch","Gärtner",2,2
"NewKreuetterBuch","Reiser",2,3
"NewKreuetterBuch","Ägypter",1,4
"NewKreuetterBuch","Araber",1,5
"NewKreuetterBuch","Ausleger",1,6
"NewKreuetterBuch","Brecher",1,7
"NewKreuetterBuch","Krämer",1,8
"NewKreuetterBuch","Leser",1,9
"NewKreuetterBuch","Römer",1,10
"NewKreuetterBuch","Schäfer",1,11
"NewKreuetterBuch","Schweizer",1,12
"NewKreuetterBuch","Troianer",1,13
"NewKreuetterbbuch","Apotheker",5,1
"NewKreuetterbbuch","Kräutler",2,2
"WieSichMeniglich","Leser",5,1
"WieSichMeniglich","Balbierer",1,2
"WieSichMeniglich","Gräber",1,3
"WieSichMeniglich","Tadler",1,4
"NewKreueterbuch","Apotheker",1,1
"NewKreueterbuch","Jäger",1,2
"NewKreueterbuch","Schäfer",1,3
"Paradeiszgaertlein","Heuchler",3,1
"Paradeiszgaertlein","Lehrer",3,2
"Paradeiszgaertlein","Pharisäer",2,3
"Paradeiszgaertlein","Sünder",2,4
"Paradeiszgaertlein","Erlöser",1,5
"Paradeiszgaertlein","Gärtner",1,6
"Paradeiszgaertlein","Mittler",1,7
"Paradeiszgaertlein","Retter",1,8
"AlchymistischePractic","Leser",2,1
"AlchymistischePractic","Apotheker",1,2
"AlchymistischePractic","Töpfer",1,3
"HortulusSanitatis","Italiener",5,1
"HortulusSanitatis","Araber",1,2
"HortulusSanitatis","Betrüger",1,3
"HortulusSanitatis","Fehler",1,4
"HortulusSanitatis","Tridentiner",1,5
"PflantzGart","Leser",6,1
"PflantzGart","Fehler",4,2
"PflantzGart","Römer",4,3
"PflantzGart","Liebhaber",2,4
"PflantzGart","Pflanzer",2,5
"PflantzGart","Beschätzer",1,6
"PflantzGart","Räumer",1,7
"Wund-Artzney","Gräber",4,1
"Wund-Artzney","Araber",2,2
"Wund-Artzney","Macher",2,3
"Wund-Artzney","Diener",1,4
"Wund-Artzney","Einwohner",1,5
"Wund-Artzney","Lateiner",1,6
"Wund-Artzney","Nachfolger",1,7
"Wund-Artzney","Träger",1,8
"Phythologia","Splitter",1,1
"ThesaurusSanitatis","Schlachter",1,1
"ThesaurusSanitatis","Zünder",1,2
"SonderbaresKraeuterbuch","Splitter",1,1
"SchweizerischerBotanicus","Gärtner",4,1
"SchweizerischerBotanicus","Italiener",1,2
"SchweizerischerBotanicus","Leser",1,3
"SchweizerischerBotanicus","Passauer",1,4
"SchweizerischerBotanicus","Straßburger",1,5
"TheatrumBotanicum","Überwinder",2,1
"TheatrumBotanicum","Apotheker",1,2
"TheatrumBotanicum","Römer",1,3
"ViridariumReformatum","Italiener",2,1
"ViridariumReformatum","Prediger",1,2
"FloraSaturnizans","Leser",2,1
"FloraSaturnizans","Künstler",1,2
"FloraSaturnizans","Maler",1,3
"FloraSaturnizans","Radeburger",1,4
"FloraSaturnizans","Vorgänger",1,5
"FloraSaturnizans","Waldenburger",1,6
"FloraSaturnizans","Zunder",1,7
"MysterivmSigillorvm","Leser",1,1
"MysterivmSigillorvm","Zauberer",1,2
"BlackwellischesKraeuterbuch","Grenzwälder",1,1
"Unterricht","Savojer",3,1
"Unterricht","Einwohner",1,2
"Unterricht","Gärtner",1,3
"Unterricht","Splitter",1,4
"GrundrissKraeuterkunde","Forscher",3,1
"GrundrissKraeuterkunde","Entdecker",1,2
"Apothekerlexikon","Beobachter",1,1
"GetreueDarstellungUndBeschreibung","Botaniker",1,1
"Flora-7","Österreicher",1,1
"Flora-7","Apotheker",1,2
"Flora-7","Bayer",1,3
"Flora-7","Botaniker",1,4
"Flora-7","Fehler",1,5
"Flora-7","Tiroler",1,6
"Flora-6","Bewohner",1,1
"Flora-6","Botaniker",1,2
"Flora-6","Fehler",1,3
"EigenschaftenAllerHeilpflanzen","Italiener",1,1
"NochEinigeWorte","Träger",12,1
"NochEinigeWorte","Gärtner",4,2
"NochEinigeWorte","Behälter",1,3
"NochEinigeWorte","Botaniker",1,4
"NochEinigeWorte","Leser",1,5
"NochEinigeWorte","Liebhaber",1,6
"NochEinigeWorte","Schriftsteller",1,7
"VorlesungenUeberKraeuterkunde","Behälter",3,1
"VorlesungenUeberKraeuterkunde","Botaniker",3,2
"VorlesungenUeberKraeuterkunde","Dichter",2,3
"VorlesungenUeberKraeuterkunde","Verfasser",2,4
"VorlesungenUeberKraeuterkunde","Gärtner",1,5
"VorlesungenUeberKraeuterkunde","Kutscher",1,6
"VorlesungenUeberKraeuterkunde","Schriftsteller",1,7
"GrossesIllustriertesKraeuterbuch","Blümler",5,1
"GrossesIllustriertesKraeuterbuch","Blütler",1,2
"GrossesIllustriertesKraeuterbuch","Würger",1,3
"GrossesIllustriertesKraeuterbuch","Wittlinger",1,4
"DeutschePflanzennamen","Botaniker",5,1
"DeutschePflanzennamen","Kräutler",3,2
"DeutschePflanzennamen","Forscher",2,3
"DeutschePflanzennamen","Sammler",2,4
"DeutschePflanzennamen","Apotheker",1,5
"DeutschePflanzennamen","Blümler",1,6
"DeutschePflanzennamen","Früchtler",1,7
"DeutschePflanzennamen","Herrscher",1,8
"DeutschePflanzennamen","Köcher",1,9
"DeutschePflanzennamen","Schlosser",1,10
"DeutschePflanzennamen","Töpfer",1,11
"DeutschePflanzennamen","Verfasser",1,12
"DeutschePflanzennamen","Vorläufer",1,13
"FloraDerPreussischenRheinlande","Ausläufer",3,1
"FloraDerPreussischenRheinlande","Träger",3,2
"FloraDerPreussischenRheinlande","Botaniker",2,3
"FloraDerPreussischenRheinlande","Algesheimer",1,4
"FloraDerPreussischenRheinlande","Deutzer",1,5
"FloraDerPreussischenRheinlande","Entdecker",1,6
"FloraDerPreussischenRheinlande","Koblenzer",1,7
"FloraDerPreussischenRheinlande","Montabaurer",1,8
"FloraDerPreussischenRheinlande","Verfasser",1,9
"FloraDerPreussischenRheinlande","Vorsteher",1,10
"GemeinnuetzigesKraeuterbuch","Blümler",3,1
"GemeinnuetzigesKraeuterbuch","Apotheker",1,2
"GemeinnuetzigesKraeuterbuch","Blütler",1,3
"GemeinnuetzigesKraeuterbuch","Streicher",1,4
"Kraeuterbuch","Ausläufer",1,1
"Kraeuterbuch","Begleiter",1,2
"Kraeuterbuch","Gärtner",1,3
"Kraeuterbuch","Schneeberger",1,4
"Kraeuterbuch","Schneider",1,5
"Kraeuterbuch","Tyroler",1,6
