"lemma","frequency","rank"
"Krankheit",124,1
"Feuchtigkeit",101,2
"Ähnlichkeit",27,3
"Beschaffenheit",19,4
"Gelegenheit",16,5
"Engbrüstigkeit",15,6
"Gesundheit",15,7
"Bitterkeit",12,8
"Wahrheit",12,9
"Keuschheit",11,10
"Sonderheit",11,11
"Reinigkeit",9,12
"Schwachheit",9,13
"Trunkenheit",9,14
"Verschiedenheit",9,15
"Flüssigkeit",8,16
"Räudigkeit",8,17
"Tätigkeit",8,18
"Gewissheit",7,19
"Erfahrenheit",6,20
"Ewigkeit",6,21
"Gerechtigkeit",6,22
"Gleichheit",6,23
"Heimlichkeit",6,24
"Mannigfaltigkeit",6,25
"Sauberkeit",6,26
"Vollkommenheit",6,27
"Blödigkeit",5,28
"Fruchtbarkeit",5,29
"Müdigkeit",5,30
"Schönheit",5,31
"Überflüssigkeit",4,32
"Christenheit",4,33
"Dunkelheit",4,34
"Herrlichkeit",4,35
"Reizbarkeit",4,36
"Wissenheit",4,37
"Aufmerksamkeit",3,38
"Eigentümlichkeit",3,39
"Gewohnheit",3,40
"Gutheit",3,41
"Heiligkeit",3,42
"Ohnmächtigkeit",3,43
"Richtigkeit",3,44
"Schwierigkeit",3,45
"Vergessenheit",3,46
"Achtsamkeit",2,47
"Übelkeit",2,48
"Aussätzigkeit",2,49
"Barmherzigkeit",2,50
"Behutsamkeit",2,51
"Bescheidenheit",2,52
"Eigenheit",2,53
"Einheit",2,54
"Empfindlichkeit",2,55
"Fährlichkeit",2,56
"Geheuerlichkeit",2,57
"Geschicklichkeit",2,58
"Grobheit",2,59
"Härtigkeit",2,60
"Klarheit",2,61
"Nutzbarkeit",2,62
"Torheit",2,63
"Traurigkeit",2,64
"Trockenheit",2,65
"Vorsichtigkeit",2,66
"Wahrscheinlichkeit",2,67
"Wirksamkeit",2,68
"Zierlichkeit",2,69
"Örtlichkeit",1,70
"Albernheit",1,71
"Allmächtigkeit",1,72
"Anzündlichkeit",1,73
"Üppigkeit",1,74
"Aufrichtigkeit",1,75
"Bequemlichkeit",1,76
"Bosheit",1,77
"Brauchbarkeit",1,78
"Dienlichkeit",1,79
"Durchsichtigkeit",1,80
"Ebenmäßigkeit",1,81
"Einfachheit",1,82
"Einstimmigkeit",1,83
"Eintönigkeit",1,84
"Empfindligkeit",1,85
"Erhabenheit",1,86
"Falschheit",1,87
"Festigkeit",1,88
"Fettigkeit",1,89
"Freiheit",1,90
"Gütigkeit",1,91
"Gelindigkeit",1,92
"Genauigkeit",1,93
"Gleichgültigkeit",1,94
"Gleichzeitigkeit",1,95
"Großheit",1,96
"Heftigkeit",1,97
"Heimlichheit",1,98
"Hochwürdigkeit",1,99
"Kleinigkeit",1,100
"Mildigkeit",1,101
"Mutterkrankheit",1,102
"Obrigkeit",1,103
"Persönlichkeit",1,104
"Rauigkeit",1,105
"Reudigkeit",1,106
"Süßigkeit",1,107
"Schäbigkeit",1,108
"Schläfrigkeit",1,109
"Schlaffheit",1,110
"Schwerhörigkeit",1,111
"Schwermütigkeit",1,112
"Sehrigkeit",1,113
"Seligkeit",1,114
"Sinnigkeit",1,115
"Steifigkeit",1,116
"Sterblichkeit",1,117
"Subtiligkeit",1,118
"Taubheit",1,119
"Verdaulichkeit",1,120
"Vollständigkeit",1,121
"Würdigkeit",1,122
"Wütigkeit",1,123
"Wichtigkeit",1,124
"Widerwärtigkeit",1,125
"Zweideutigkeit",1,126
