"title","lemma","frequency","rank"
"BuchDerNatur","Überflüssigkeit",2,1
"BuchDerNatur","Eigenheit",2,2
"BuchDerNatur","Feuchtigkeit",2,3
"BuchDerNatur","Heimlichkeit",2,4
"BuchDerNatur","Sauberkeit",2,5
"BuchDerNatur","Üppigkeit",1,6
"BuchDerNatur","Bitterkeit",1,7
"BuchDerNatur","Bosheit",1,8
"BuchDerNatur","Ebenmäßigkeit",1,9
"BuchDerNatur","Falschheit",1,10
"BuchDerNatur","Gewohnheit",1,11
"BuchDerNatur","Grobheit",1,12
"BuchDerNatur","Heiligkeit",1,13
"BuchDerNatur","Heimlichheit",1,14
"BuchDerNatur","Krankheit",1,15
"BuchDerNatur","Reudigkeit",1,16
"BuchDerNatur","Schäbigkeit",1,17
"BuchDerNatur","Trunkenheit",1,18
"BuchDerNatur","Wahrheit",1,19
"GartDerGesundheit","Feuchtigkeit",18,1
"GartDerGesundheit","Krankheit",14,2
"GartDerGesundheit","Gesundheit",7,3
"GartDerGesundheit","Ohnmächtigkeit",3,4
"GartDerGesundheit","Reinigkeit",3,5
"GartDerGesundheit","Aussätzigkeit",2,6
"GartDerGesundheit","Bitterkeit",2,7
"GartDerGesundheit","Fährlichkeit",2,8
"GartDerGesundheit","Fruchtbarkeit",1,9
"GartDerGesundheit","Geheuerlichkeit",1,10
"GartDerGesundheit","Großheit",1,11
"GartDerGesundheit","Räudigkeit",1,12
"GartDerGesundheit","Sonderheit",1,13
"GartDerGesundheit","Trockenheit",1,14
"GartDerGesundheit","Trunkenheit",1,15
"ArtzneyBuchleinDerKreutter","Krankheit",10,1
"ArtzneyBuchleinDerKreutter","Feuchtigkeit",8,2
"ArtzneyBuchleinDerKreutter","Keuschheit",8,3
"ArtzneyBuchleinDerKreutter","Gutheit",3,4
"ArtzneyBuchleinDerKreutter","Reinigkeit",2,5
"ArtzneyBuchleinDerKreutter","Allmächtigkeit",1,6
"ArtzneyBuchleinDerKreutter","Räudigkeit",1,7
"ArtzneyBuchleinDerKreutter","Sauberkeit",1,8
"ArtzneyBuchleinDerKreutter","Traurigkeit",1,9
"ContrafaytKreuterbuch","Feuchtigkeit",13,1
"ContrafaytKreuterbuch","Krankheit",5,2
"ContrafaytKreuterbuch","Keuschheit",2,3
"ContrafaytKreuterbuch","Wahrheit",2,4
"ContrafaytKreuterbuch","Bescheidenheit",1,5
"ContrafaytKreuterbuch","Dunkelheit",1,6
"ContrafaytKreuterbuch","Ewigkeit",1,7
"ContrafaytKreuterbuch","Fruchtbarkeit",1,8
"ContrafaytKreuterbuch","Härtigkeit",1,9
"ContrafaytKreuterbuch","Hochwürdigkeit",1,10
"ContrafaytKreuterbuch","Müdigkeit",1,11
"ContrafaytKreuterbuch","Nutzbarkeit",1,12
"ContrafaytKreuterbuch","Räudigkeit",1,13
"ContrafaytKreuterbuch","Süßigkeit",1,14
"ContrafaytKreuterbuch","Sonderheit",1,15
"ContrafaytKreuterbuch","Sterblichkeit",1,16
"ContrafaytKreuterbuch","Subtiligkeit",1,17
"ContrafaytKreuterbuch","Trockenheit",1,18
"ContrafaytKreuterbuch","Wütigkeit",1,19
"ContrafaytKreuterbuch","Wissenheit",1,20
"NewKreuetterBuch","Feuchtigkeit",3,1
"NewKreuetterBuch","Bitterkeit",2,2
"NewKreuetterBuch","Blödigkeit",2,3
"NewKreuetterBuch","Sonderheit",2,4
"NewKreuetterBuch","Wahrheit",2,5
"NewKreuetterBuch","Herrlichkeit",1,6
"NewKreuetterBuch","Nutzbarkeit",1,7
"NewKreuetterBuch","Sehrigkeit",1,8
"NewKreuetterbbuch","Sonderheit",5,1
"NewKreuetterbbuch","Krankheit",3,2
"NewKreuetterbbuch","Überflüssigkeit",2,3
"NewKreuetterbbuch","Blödigkeit",2,4
"NewKreuetterbbuch","Feuchtigkeit",2,5
"NewKreuetterbbuch","Keuschheit",1,6
"NewKreuetterbbuch","Sauberkeit",1,7
"NewKreuetterbbuch","Trunkenheit",1,8
"WieSichMeniglich","Geschicklichkeit",2,1
"WieSichMeniglich","Krankheit",1,2
"WieSichMeniglich","Räudigkeit",1,3
"WieSichMeniglich","Sinnigkeit",1,4
"WieSichMeniglich","Torheit",1,5
"NewKreueterbuch","Bitterkeit",2,1
"NewKreueterbuch","Feuchtigkeit",2,2
"NewKreueterbuch","Blödigkeit",1,3
"NewKreueterbuch","Gesundheit",1,4
"NewKreueterbuch","Härtigkeit",1,5
"NewKreueterbuch","Heimlichkeit",1,6
"NewKreueterbuch","Reinigkeit",1,7
"NewKreueterbuch","Sauberkeit",1,8
"NewKreueterbuch","Trunkenheit",1,9
"Paradeiszgaertlein","Ewigkeit",5,1
"Paradeiszgaertlein","Gerechtigkeit",5,2
"Paradeiszgaertlein","Christenheit",4,3
"Paradeiszgaertlein","Herrlichkeit",3,4
"Paradeiszgaertlein","Heiligkeit",2,5
"Paradeiszgaertlein","Barmherzigkeit",1,6
"Paradeiszgaertlein","Engbrüstigkeit",1,7
"Paradeiszgaertlein","Krankheit",1,8
"Paradeiszgaertlein","Mannigfaltigkeit",1,9
"Paradeiszgaertlein","Reinigkeit",1,10
"Paradeiszgaertlein","Seligkeit",1,11
"Paradeiszgaertlein","Traurigkeit",1,12
"AlchymistischePractic","Heimlichkeit",2,1
"AlchymistischePractic","Krankheit",1,2
"AlchymistischePractic","Sonderheit",1,3
