"period","lemma","frequency","rank"
"1482-1549","Feuchtigkeit",46,1
"1482-1549","Krankheit",33,2
"1482-1549","Keuschheit",11,3
"1482-1549","Sonderheit",9,4
"1482-1549","Gesundheit",7,5
"1482-1549","Bitterkeit",5,6
"1482-1549","Reinigkeit",5,7
"1482-1549","Wahrheit",5,8
"1482-1549","Überflüssigkeit",4,9
"1482-1549","Blödigkeit",4,10
"1482-1549","Sauberkeit",4,11
"1482-1549","Gutheit",3,12
"1482-1549","Ohnmächtigkeit",3,13
"1482-1549","Räudigkeit",3,14
"1482-1549","Trunkenheit",3,15
"1482-1549","Aussätzigkeit",2,16
"1482-1549","Eigenheit",2,17
"1482-1549","Fährlichkeit",2,18
"1482-1549","Fruchtbarkeit",2,19
"1482-1549","Heimlichkeit",2,20
"1482-1549","Nutzbarkeit",2,21
"1482-1549","Trockenheit",2,22
"1482-1549","Allmächtigkeit",1,23
"1482-1549","Üppigkeit",1,24
"1482-1549","Bescheidenheit",1,25
"1482-1549","Bosheit",1,26
"1482-1549","Dunkelheit",1,27
"1482-1549","Ebenmäßigkeit",1,28
"1482-1549","Ewigkeit",1,29
"1482-1549","Falschheit",1,30
"1482-1549","Geheuerlichkeit",1,31
"1482-1549","Gewohnheit",1,32
"1482-1549","Großheit",1,33
"1482-1549","Grobheit",1,34
"1482-1549","Härtigkeit",1,35
"1482-1549","Heiligkeit",1,36
"1482-1549","Heimlichheit",1,37
"1482-1549","Herrlichkeit",1,38
"1482-1549","Hochwürdigkeit",1,39
"1482-1549","Müdigkeit",1,40
"1482-1549","Reudigkeit",1,41
"1482-1549","Süßigkeit",1,42
"1482-1549","Schäbigkeit",1,43
"1482-1549","Sehrigkeit",1,44
"1482-1549","Sterblichkeit",1,45
"1482-1549","Subtiligkeit",1,46
"1482-1549","Traurigkeit",1,47
"1482-1549","Wütigkeit",1,48
"1482-1549","Wissenheit",1,49
"1550-1649","Beschaffenheit",13,1
"1550-1649","Feuchtigkeit",12,2
"1550-1649","Erfahrenheit",6,3
"1550-1649","Gelegenheit",6,4
"1550-1649","Ewigkeit",5,5
"1550-1649","Gerechtigkeit",5,6
"1550-1649","Christenheit",4,7
"1550-1649","Gleichheit",4,8
"1550-1649","Heimlichkeit",4,9
"1550-1649","Krankheit",4,10
"1550-1649","Vollkommenheit",4,11
"1550-1649","Herrlichkeit",3,12
"1550-1649","Wissenheit",3,13
"1550-1649","Bitterkeit",2,14
"1550-1649","Geschicklichkeit",2,15
"1550-1649","Heiligkeit",2,16
"1550-1649","Räudigkeit",2,17
"1550-1649","Reinigkeit",2,18
"1550-1649","Sauberkeit",2,19
"1550-1649","Schwachheit",2,20
"1550-1649","Sonderheit",2,21
"1550-1649","Trunkenheit",2,22
"1550-1649","Vorsichtigkeit",2,23
"1550-1649","Wahrheit",2,24
"1550-1649","Achtsamkeit",1,25
"1550-1649","Barmherzigkeit",1,26
"1550-1649","Bescheidenheit",1,27
"1550-1649","Blödigkeit",1,28
"1550-1649","Empfindlichkeit",1,29
