"lemma","frequency","rank"
"Gattung",271,1
"Wirkung",109,2
"Benennung",69,3
"Bildung",56,4
"Verstopfung",46,5
"Zusammensetzung",41,6
"Meinung",32,7
"Abteilung",31,8
"Befruchtung",25,9
"Entzündung",25,10
"Entwicklung",24,11
"Beobachtung",23,12
"Ordnung",23,13
"Nahrung",22,14
"Zubereitung",22,15
"Beschreibung",21,16
"Endung",21,17
"Anwendung",20,18
"Erfahrung",20,19
"Untersuchung",20,20
"Weichung",18,21
"Wachsung",17,22
"Ausbildung",16,23
"Darstellung",16,24
"Fäulung",16,25
"Reinigung",16,26
"Bedeutung",15,27
"Richtung",15,28
"Zeitigung",14,29
"Erscheinung",13,30
"Feuchtung",13,31
"Mündung",13,32
"Stärkung",13,33
"Vermehrung",13,34
"Übertragung",12,35
"Dauung",12,36
"Bewegung",11,37
"Verbindung",11,38
"Abbildung",10,39
"Andeutung",10,40
"Erklärung",10,41
"Beschwerung",9,42
"Bestopfung",9,43
"Empfindung",9,44
"Lähmung",9,45
"Sammlung",9,46
"Verdauung",9,47
"Vergrößerung",9,48
"Achtung",8,49
"Pflanzung",8,50
"Stellung",8,51
"Aufblähung",7,52
"Bereitung",7,53
"Bezeichnung",7,54
"Blähung",7,55
"Mischung",7,56
"Verblutung",7,57
"Zerteilung",7,58
"Abkochung",6,59
"Abweichung",6,60
"Erschütterung",6,61
"Heilung",6,62
"Neigung",6,63
"Quetschung",6,64
"Trennung",6,65
"Vermischung",6,66
"Verschleimung",6,67
"Versehrung",6,68
"Zeitung",6,69
"Zeugung",6,70
"Abhandlung",5,71
"Ausdehnung",5,72
"Einwirkung",5,73
"Entdeckung",5,74
"Erzeugung",5,75
"Fortpflanzung",5,76
"Gebung",5,77
"Machung",5,78
"Umwandlung",5,79
"Veränderung",5,80
"Verbreitung",5,81
"Vergleichung",5,82
"Verhärtung",5,83
"Verletzung",5,84
"Verrichtung",5,85
"Verwirrung",5,86
"Wartung",5,87
"Witterung",5,88
"Wohnung",5,89
"Zerschlitzung",5,90
"Zusammenziehung",5,91
"Abänderung",4,92
"Übersetzung",4,93
"Auflösung",4,94
"Bedeckung",4,95
"Bekleidung",4,96
"Berührung",4,97
"Beziehung",4,98
"Feststellung",4,99
"Gärung",4,100
"Hornung",4,101
"Kühlung",4,102
"Veranlassung",4,103
"Vergiftung",4,104
"Verwandlung",4,105
"Verwunderung",4,106
"Verzweigung",4,107
"Wahrnehmung",4,108
"Öffnung",3,109
"Annäherung",3,110
"Anordnung",3,111
"Übung",3,112
"Aufachtung",3,113
"Beförderung",3,114
"Begattung",3,115
"Behandlung",3,116
"Behausung",3,117
"Bemerkung",3,118
"Bestäubung",3,119
"Bestimmung",3,120
"Betrachtung",3,121
"Einteilung",3,122
"Erinnerung",3,123
"Erzählung",3,124
"Färbung",3,125
"Hinzufügung",3,126
"Hoffnung",3,127
"Säuerung",3,128
"Süchtung",3,129
"Scheidung",3,130
"Steigerung",3,131
"Stillung",3,132
"Stockung",3,133
"Teilung",3,134
"Verästelung",3,135
"Verbesserung",3,136
"Verlängerung",3,137
"Vertiefung",3,138
"Vertreibung",3,139
"Ableitung",2,140
"Abmalung",2,141
"Abnehmung",2,142
"Anknüpfung",2,143
"Anschauung",2,144
"Ansehung",2,145
"Anziehung",2,146
"Übereinstimmung",2,147
"Überfüllung",2,148
"Aufenthaltung",2,149
"Aufsaugung",2,150
"Ausfallung",2,151
"Auslaugung",2,152
"Auslegung",2,153
"Bähung",2,154
"Bedingung",2,155
"Begründung",2,156
"Berichtigung",2,157
"Beschädigung",2,158
"Besserung",2,159
"Bestätigung",2,160
"Beurteilung",2,161
"Beweisung",2,162
"Destillierung",2,163
"Deutung",2,164
"Einfügung",2,165
"Einleitung",2,166
"Einreibung",2,167
"Einsaugung",2,168
"Entfernung",2,169
"Entziehung",2,170
"Ergötzung",2,171
"Erhöhung",2,172
"Erhaltung",2,173
"Forschung",2,174
"Gestaltung",2,175
"Löschung",2,176
"Mästung",2,177
"Meldung",2,178
"Mitteilung",2,179
"Nutzung",2,180
"Rektifizierung",2,181
"Sähung",2,182
"Sättigung",2,183
"Störung",2,184
"Stopfung",2,185
"Umdeutung",2,186
"Unterscheidung",2,187
"Verbrennung",2,188
"Verdeutschung",2,189
"Verdoppelung",2,190
"Verdreifachung",2,191
"Verhandlung",2,192
"Verstärkung",2,193
"Verteilung",2,194
"Verwachsung",2,195
"Vorlesung",2,196
"Vorstellung",2,197
"Warnung",2,198
"Wiederherstellung",2,199
"Zusammenfügung",2,200
"Änderung",1,201
"Äußerung",1,202
"Abmessung",1,203
"Abschnürung",1,204
