"title","lemma","frequency","rank"
"BuchDerNatur","Nahrung",8,1
"BuchDerNatur","Verstopfung",3,2
"BuchDerNatur","Mischung",2,3
"BuchDerNatur","Blähung",1,4
"BuchDerNatur","Meinung",1,5
"GartDerGesundheit","Feuchtung",13,1
"GartDerGesundheit","Bestopfung",8,2
"GartDerGesundheit","Süchtung",3,3
"GartDerGesundheit","Ausfallung",2,4
"GartDerGesundheit","Ordnung",2,5
"GartDerGesundheit","Stärkung",2,6
"GartDerGesundheit","Verstopfung",2,7
"GartDerGesundheit","Abnehmung",1,8
"GartDerGesundheit","Aufmerkung",1,9
"GartDerGesundheit","Dämpfung",1,10
"GartDerGesundheit","Durchwandrung",1,11
"GartDerGesundheit","Entwerfung",1,12
"GartDerGesundheit","Ergötzung",1,13
"GartDerGesundheit","Füllung",1,14
"GartDerGesundheit","Hoffnung",1,15
"GartDerGesundheit","Kitzelung",1,16
"GartDerGesundheit","Konterfeiung",1,17
"GartDerGesundheit","Meinung",1,18
"GartDerGesundheit","Reizung",1,19
"GartDerGesundheit","Säuerung",1,20
"GartDerGesundheit","Schärfung",1,21
"GartDerGesundheit","Speisung",1,22
"GartDerGesundheit","Stopfung",1,23
"GartDerGesundheit","Teuerung",1,24
"GartDerGesundheit","Vergiftigung",1,25
"GartDerGesundheit","Verhärtung",1,26
"GartDerGesundheit","Vermischung",1,27
"ArtzneyBuchleinDerKreutter","Dauung",3,1
"ArtzneyBuchleinDerKreutter","Fäulung",3,2
"ArtzneyBuchleinDerKreutter","Stärkung",2,3
"ArtzneyBuchleinDerKreutter","Abnehmung",1,4
"ArtzneyBuchleinDerKreutter","Bestopfung",1,5
"ArtzneyBuchleinDerKreutter","Erleuchtung",1,6
"ArtzneyBuchleinDerKreutter","Fristung",1,7
"ArtzneyBuchleinDerKreutter","Mischung",1,8
"ArtzneyBuchleinDerKreutter","Ordnung",1,9
"ArtzneyBuchleinDerKreutter","Purgierung",1,10
"ArtzneyBuchleinDerKreutter","Schürfung",1,11
"ArtzneyBuchleinDerKreutter","Vertreibung",1,12
"ContrafaytKreuterbuch","Meinung",13,1
"ContrafaytKreuterbuch","Beschreibung",8,2
"ContrafaytKreuterbuch","Wirkung",3,3
"ContrafaytKreuterbuch","Ordnung",2,4
"ContrafaytKreuterbuch","Stärkung",2,5
"ContrafaytKreuterbuch","Anzeigung",1,6
"ContrafaytKreuterbuch","Übung",1,7
"ContrafaytKreuterbuch","Bereitung",1,8
"ContrafaytKreuterbuch","Blähung",1,9
"ContrafaytKreuterbuch","Dauung",1,10
"ContrafaytKreuterbuch","Einleitung",1,11
"ContrafaytKreuterbuch","Entschuldigung",1,12
"ContrafaytKreuterbuch","Mannigfaltigung",1,13
"ContrafaytKreuterbuch","Neigung",1,14
"ContrafaytKreuterbuch","Sähung",1,15
"ContrafaytKreuterbuch","Sammlung",1,16
"ContrafaytKreuterbuch","Spaltung",1,17
"ContrafaytKreuterbuch","Stopfung",1,18
"ContrafaytKreuterbuch","Temperierung",1,19
"ContrafaytKreuterbuch","Vermischung",1,20
"NewKreuetterBuch","Wirkung",18,1
"NewKreuetterBuch","Meinung",4,2
"NewKreuetterBuch","Abmalung",2,3
