"period","lemma","frequency","rank"
"1482-1549","Wirkung",40,1
"1482-1549","Meinung",19,2
"1482-1549","Wachsung",17,3
"1482-1549","Feuchtung",13,4
"1482-1549","Beschreibung",9,5
"1482-1549","Bestopfung",9,6
"1482-1549","Nahrung",9,7
"1482-1549","Stärkung",7,8
"1482-1549","Verstopfung",6,9
"1482-1549","Dauung",5,10
"1482-1549","Ordnung",5,11
"1482-1549","Entzündung",4,12
"1482-1549","Vermischung",4,13
"1482-1549","Blähung",3,14
"1482-1549","Fäulung",3,15
"1482-1549","Mischung",3,16
"1482-1549","Süchtung",3,17
"1482-1549","Wohnung",3,18
"1482-1549","Abmalung",2,19
"1482-1549","Abnehmung",2,20
"1482-1549","Aufblähung",2,21
"1482-1549","Aufenthaltung",2,22
"1482-1549","Ausfallung",2,23
"1482-1549","Darstellung",2,24
"1482-1549","Erfahrung",2,25
"1482-1549","Stillung",2,26
"1482-1549","Stopfung",2,27
"1482-1549","Warnung",2,28
"1482-1549","Anzeigung",1,29
"1482-1549","Übung",1,30
"1482-1549","Aufmerkung",1,31
"1482-1549","Behausung",1,32
"1482-1549","Bereitung",1,33
"1482-1549","Bestreichung",1,34
"1482-1549","Dämpfung",1,35
"1482-1549","Durchwandrung",1,36
"1482-1549","Einleitung",1,37
"1482-1549","Entschuldigung",1,38
"1482-1549","Entwerfung",1,39
"1482-1549","Ergötzung",1,40
"1482-1549","Erklärung",1,41
"1482-1549","Erleuchtung",1,42
"1482-1549","Füllung",1,43
"1482-1549","Fristung",1,44
"1482-1549","Heilung",1,45
"1482-1549","Hinlegung",1,46
"1482-1549","Hoffnung",1,47
"1482-1549","Irrung",1,48
"1482-1549","Kitzelung",1,49
"1482-1549","Konterfeiung",1,50
"1482-1549","Mästung",1,51
"1482-1549","Mannigfaltigung",1,52
"1482-1549","Neigung",1,53
"1482-1549","Purgierung",1,54
"1482-1549","Reizung",1,55
"1482-1549","Ringerung",1,56
"1482-1549","Sähung",1,57
"1482-1549","Säuerung",1,58
"1482-1549","Sammlung",1,59
"1482-1549","Schärfung",1,60
"1482-1549","Schürfung",1,61
"1482-1549","Spaltung",1,62
"1482-1549","Speisung",1,63
"1482-1549","Tötung",1,64
"1482-1549","Temperierung",1,65
"1482-1549","Teuerung",1,66
"1482-1549","Vergiftigung",1,67
"1482-1549","Verhärtung",1,68
"1482-1549","Vertreibung",1,69
"1482-1549","Verwundung",1,70
"1482-1549","Zerbrechung",1,71
"1482-1549","Zerknirschung",1,72
"1482-1549","Zerknitschung",1,73
"1482-1549","Zielung",1,74
"1482-1549","Zusammenziehung",1,75
"1482-1549","Zweiflung",1,76
"1550-1649","Wirkung",31,1
"1550-1649","Gattung",25,2
"1550-1649","Weichung",18,3
"1550-1649","Zeitigung",10,4
"1550-1649","Verstopfung",7,5
"1550-1649","Nahrung",6,6
"1550-1649","Achtung",5,7
"1550-1649","Erfahrung",5,8
"1550-1649","Abteilung",4,9
"1550-1649","Dauung",4,10
"1550-1649","Ordnung",4,11
"1550-1649","Reinigung",4,12
"1550-1649","Verblutung",4,13
"1550-1649","Aufachtung",3,14
"1550-1649","Meinung",3,15
"1550-1649","Stärkung",3,16
"1550-1649","Übung",2,17
"1550-1649","Bedeutung",2,18
"1550-1649","Behausung",2,19
"1550-1649","Beschreibung",2,20
"1550-1649","Beweisung",2,21
"1550-1649","Destillierung",2,22
"1550-1649","Entzündung",2,23
"1550-1649","Erinnerung",2,24
"1550-1649","Fäulung",2,25
"1550-1649","Löschung",2,26
"1550-1649","Meldung",2,27
"1550-1649","Rektifizierung",2,28
"1550-1649","Verbesserung",2,29
"1550-1649","Verdeutschung",2,30
"1550-1649","Vermischung",2,31
"1550-1649","Verwunderung",2,32
"1550-1649","Abwendung",1,33
"1550-1649","Andeutung",1,34
"1550-1649","Anleitung",1,35
"1550-1649","Anstellung",1,36
"1550-1649","Auffung",1,37
"1550-1649","Auflösung",1,38
"1550-1649","Auslegung",1,39
"1550-1649","Austeilung",1,40
"1550-1649","Ausweisung",1,41
"1550-1649","Bereitung",1,42
"1550-1649","Beschirmung",1,43
"1550-1649","Bestätigung",1,44
"1550-1649","Betrachtung",1,45
"1550-1649","Deutung",1,46
"1550-1649","Einsammlung",1,47
"1550-1649","Erhaltung",1,48
"1550-1649","Erscheinung",1,49
"1550-1649","Erweichung",1,50
"1550-1649","Erzählung",1,51
"1550-1649","Kühlung",1,52
"1550-1649","Läuterung",1,53
"1550-1649","Lesung",1,54
"1550-1649","Linderung",1,55
"1550-1649","Mästung",1,56
"1550-1649","Machung",1,57
"1550-1649","Nachrichtung",1,58
"1550-1649","Pflanzung",1,59
"1550-1649","Rechnung",1,60
"1550-1649","Sähung",1,61
"1550-1649","Scheidung",1,62
"1550-1649","Suchung",1,63
"1550-1649","Verderbung",1,64
"1550-1649","Verführung",1,65
"1550-1649","Vergiftung",1,66
"1550-1649","Verhärtung",1,67
"1550-1649","Verhütung",1,68
"1550-1649","Verleihung",1,69
"1550-1649","Verletzung",1,70
"1550-1649","Vermengung",1,71
"1550-1649","Versehrung",1,72
"1550-1649","Verzehrung",1,73
"1550-1649","Witterung",1,74
"1550-1649","Wohnung",1,75
"1650-1749","Zubereitung",22,1
"1650-1749","Verstopfung",20,2
"1650-1749","Wirkung",19,3
"1650-1749","Gattung",14,4
"1650-1749","Vermehrung",11,5
"1650-1749","Fäulung",10,6
"1650-1749","Beschwerung",9,7
"1650-1749","Reinigung",9,8
"1650-1749","Meinung",7,9
"1650-1749","Entzündung",6,10
"1650-1749","Untersuchung",6,11
"1650-1749","Aufblähung",5,12
"1650-1749","Beschreibung",4,13
"1650-1749","Hornung",4,14
"1650-1749","Pflanzung",4,15
"1650-1749","Versehrung",4,16
"1650-1749","Wahrnehmung",4,17
"1650-1749","Zeitigung",4,18
"1650-1749","Achtung",3,19
"1650-1749","Bewegung",3,20
"1650-1749","Dauung",3,21
