"title","m","Vm"
"BuchDerNatur",1,2
"BuchDerNatur",2,1
"GartDerGesundheit",1,4
"GartDerGesundheit",4,1
"ArtzneyBuchleinDerKreutter",1,2
"ContrafaytKreuterbuch",1,14
"ContrafaytKreuterbuch",2,2
"NewKreuetterBuch",1,10
"NewKreuetterBuch",2,2
"NewKreuetterBuch",4,1
"NewKreuetterbbuch",2,1
"NewKreuetterbbuch",5,1
"WieSichMeniglich",1,3
"WieSichMeniglich",5,1
"NewKreueterbuch",1,3
"Paradeiszgaertlein",1,4
"Paradeiszgaertlein",2,2
"Paradeiszgaertlein",3,2
"AlchymistischePractic",1,2
"AlchymistischePractic",2,1
"HortulusSanitatis",1,4
"HortulusSanitatis",5,1
"PflantzGart",1,2
"PflantzGart",2,2
"PflantzGart",4,2
"PflantzGart",6,1
"Wund-Artzney",1,5
"Wund-Artzney",2,2
"Wund-Artzney",4,1
"Phythologia",1,1
"ThesaurusSanitatis",1,2
"SonderbaresKraeuterbuch",1,1
"SchweizerischerBotanicus",1,4
"SchweizerischerBotanicus",4,1
"TheatrumBotanicum",1,2
"TheatrumBotanicum",2,1
"ViridariumReformatum",1,1
"ViridariumReformatum",2,1
"FloraSaturnizans",1,6
"FloraSaturnizans",2,1
"MysterivmSigillorvm",1,2
"BlackwellischesKraeuterbuch",1,1
"Unterricht",1,3
"Unterricht",3,1
"GrundrissKraeuterkunde",1,1
"GrundrissKraeuterkunde",3,1
"Apothekerlexikon",1,1
"GetreueDarstellungUndBeschreibung",1,1
"Flora-7",1,6
"Flora-6",1,3
"EigenschaftenAllerHeilpflanzen",1,1
"NochEinigeWorte",1,5
"NochEinigeWorte",4,1
"NochEinigeWorte",12,1
"VorlesungenUeberKraeuterkunde",1,3
"VorlesungenUeberKraeuterkunde",2,2
"VorlesungenUeberKraeuterkunde",3,2
"GrossesIllustriertesKraeuterbuch",1,3
"GrossesIllustriertesKraeuterbuch",5,1
"DeutschePflanzennamen",1,9
"DeutschePflanzennamen",2,2
"DeutschePflanzennamen",3,1
"DeutschePflanzennamen",5,1
"FloraDerPreussischenRheinlande",1,7
"FloraDerPreussischenRheinlande",2,1
"FloraDerPreussischenRheinlande",3,2
"GemeinnuetzigesKraeuterbuch",1,3
"GemeinnuetzigesKraeuterbuch",3,1
"Kraeuterbuch",1,6
