"period","m","Vm"
"1482-1549",1,27
"1482-1549",2,7
"1482-1549",3,4
"1482-1549",4,3
"1482-1549",5,3
"1482-1549",7,1
"1482-1549",9,1
"1482-1549",11,1
"1482-1549",33,1
"1482-1549",46,1
"1550-1649",1,20
"1550-1649",2,11
"1550-1649",3,2
"1550-1649",4,5
"1550-1649",5,2
"1550-1649",6,2
"1550-1649",12,1
"1550-1649",13,1
"1650-1749",1,17
"1650-1749",2,7
"1650-1749",3,3
"1650-1749",4,1
"1650-1749",5,1
"1650-1749",7,1
"1650-1749",8,1
"1650-1749",12,1
"1650-1749",25,1
"1650-1749",54,1
"1750-1849",1,20
"1750-1849",2,9
"1750-1849",3,4
"1750-1849",4,1
"1750-1849",5,2
"1750-1849",6,1
"1750-1849",8,1
"1750-1849",18,1
"1750-1849",21,2
"1850-1914",1,17
"1850-1914",2,6
"1850-1914",3,1
"1850-1914",4,2
"1850-1914",6,1
"1850-1914",12,1
