"title","m","Vm"
"BuchDerNatur",1,2
"BuchDerNatur",2,1
"BuchDerNatur",3,1
"BuchDerNatur",8,1
"GartDerGesundheit",1,20
"GartDerGesundheit",2,4
"GartDerGesundheit",3,1
"GartDerGesundheit",8,1
"GartDerGesundheit",13,1
"ArtzneyBuchleinDerKreutter",1,9
"ArtzneyBuchleinDerKreutter",2,1
"ArtzneyBuchleinDerKreutter",3,2
"ContrafaytKreuterbuch",1,15
"ContrafaytKreuterbuch",2,2
"ContrafaytKreuterbuch",3,1
"ContrafaytKreuterbuch",8,1
"ContrafaytKreuterbuch",13,1
"NewKreuetterBuch",1,11
"NewKreuetterBuch",2,8
"NewKreuetterBuch",4,1
"NewKreuetterBuch",18,1
"NewKreuetterbbuch",1,13
"NewKreuetterbbuch",2,1
"NewKreuetterbbuch",3,1
"NewKreuetterbbuch",17,1
"NewKreuetterbbuch",19,1
"WieSichMeniglich",1,14
"WieSichMeniglich",2,3
"WieSichMeniglich",6,1
"NewKreueterbuch",1,4
"NewKreueterbuch",4,1
"Paradeiszgaertlein",1,6
"Paradeiszgaertlein",2,2
"Paradeiszgaertlein",16,1
"AlchymistischePractic",1,5
"AlchymistischePractic",2,4
"HortulusSanitatis",1,5
"HortulusSanitatis",2,2
"HortulusSanitatis",4,2
"KraeuterbuchDesEdelen",1,6
"KraeuterbuchDesEdelen",2,2
"KraeuterbuchDesEdelen",3,1
"KraeuterbuchDesEdelen",5,1
"KraeuterbuchDesEdelen",18,1
"PflantzGart",1,17
"PflantzGart",2,9
"PflantzGart",3,1
"PflantzGart",4,4
"PflantzGart",6,1
"PflantzGart",25,1
"Wund-Artzney",1,6
"Wund-Artzney",2,3
"Wund-Artzney",3,1
"Wund-Artzney",4,2
"Wund-Artzney",5,1
"Phythologia",1,2
"Phythologia",2,1
"Phythologia",8,1
"ThesaurusSanitatis",1,12
"ThesaurusSanitatis",2,2
"ThesaurusSanitatis",4,1
"SonderbaresKraeuterbuch",1,7
"SonderbaresKraeuterbuch",2,1
"SonderbaresKraeuterbuch",3,1
"SonderbaresKraeuterbuch",4,2
"SonderbaresKraeuterbuch",10,1
"SonderbaresKraeuterbuch",11,1
"SonderbaresKraeuterbuch",21,1
"SchweizerischerBotanicus",1,2
"SchweizerischerBotanicus",2,1
"SchweizerischerBotanicus",3,1
"SchweizerischerBotanicus",4,3
"TheatrumBotanicum",1,5
"TheatrumBotanicum",2,1
"TheatrumBotanicum",3,1
"TheatrumBotanicum",4,2
"TheatrumBotanicum",6,1
"ViridariumReformatum",1,8
"ViridariumReformatum",2,1
"ViridariumReformatum",5,1
"FloraSaturnizans",1,23
"FloraSaturnizans",2,7
"FloraSaturnizans",5,1
"MysterivmSigillorvm",1,16
"MysterivmSigillorvm",2,1
"MysterivmSigillorvm",3,1
"MysterivmSigillorvm",4,3
"BlackwellischesKraeuterbuch",1,10
"BlackwellischesKraeuterbuch",2,2
"BlackwellischesKraeuterbuch",3,1
"EinleitungZuDerKraeuterkenntnisz",1,10
"EinleitungZuDerKraeuterkenntnisz",2,2
"EinleitungZuDerKraeuterkenntnisz",3,3
"EinleitungZuDerKraeuterkenntnisz",4,1
"EinleitungZuDerKraeuterkenntnisz",5,2
"EinleitungZuDerKraeuterkenntnisz",8,1
"EinleitungZuDerKraeuterkenntnisz",16,1
"EinleitungZuDerKraeuterkenntnisz",120,1
"Unterricht",1,10
"Unterricht",2,1
"GrundrissKraeuterkunde",1,19
"GrundrissKraeuterkunde",2,6
"GrundrissKraeuterkunde",3,2
"GrundrissKraeuterkunde",9,1
"Apothekerlexikon",1,22
"Apothekerlexikon",2,4
"Apothekerlexikon",3,1
"Apothekerlexikon",5,1
"GetreueDarstellungUndBeschreibung",1,6
"GetreueDarstellungUndBeschreibung",2,4
"GetreueDarstellungUndBeschreibung",3,1
"Flora-7",1,12
"Flora-7",2,1
"Flora-6",1,20
"Flora-6",2,6
"Flora-6",3,2
"Flora-6",7,1
"Flora-6",9,1
"Flora-6",19,1
"EigenschaftenAllerHeilpflanzen",1,19
"EigenschaftenAllerHeilpflanzen",2,4
"EigenschaftenAllerHeilpflanzen",4,2
"EigenschaftenAllerHeilpflanzen",5,1
"EigenschaftenAllerHeilpflanzen",8,1
"NochEinigeWorte",1,48
"NochEinigeWorte",2,8
"NochEinigeWorte",3,2
"NochEinigeWorte",4,3
"NochEinigeWorte",5,1
"NochEinigeWorte",6,4
"NochEinigeWorte",8,1
"NochEinigeWorte",9,1
"NochEinigeWorte",15,1
"NochEinigeWorte",17,1
"NochEinigeWorte",18,1
"NochEinigeWorte",20,1
"VorlesungenUeberKraeuterkunde",1,32
"VorlesungenUeberKraeuterkunde",2,6
"VorlesungenUeberKraeuterkunde",3,7
"VorlesungenUeberKraeuterkunde",4,3
"VorlesungenUeberKraeuterkunde",5,2
"VorlesungenUeberKraeuterkunde",11,1
"GrossesIllustriertesKraeuterbuch",1,22
"GrossesIllustriertesKraeuterbuch",2,3
"GrossesIllustriertesKraeuterbuch",3,3
"GrossesIllustriertesKraeuterbuch",4,2
"GrossesIllustriertesKraeuterbuch",12,1
"DeutschePflanzennamen",1,41
"DeutschePflanzennamen",2,12
"DeutschePflanzennamen",3,5
"DeutschePflanzennamen",4,6
"DeutschePflanzennamen",5,1
"DeutschePflanzennamen",6,2
"DeutschePflanzennamen",7,1
"DeutschePflanzennamen",10,1
"DeutschePflanzennamen",12,2
"DeutschePflanzennamen",21,1
"DeutschePflanzennamen",34,1
"DeutschePflanzennamen",39,1
"DeutschePflanzennamen",63,1
"FloraDerPreussischenRheinlande",1,15
"FloraDerPreussischenRheinlande",2,5
"FloraDerPreussischenRheinlande",3,2
"FloraDerPreussischenRheinlande",5,1
"FloraDerPreussischenRheinlande",14,1
"GemeinnuetzigesKraeuterbuch",1,20
"GemeinnuetzigesKraeuterbuch",2,5
"GemeinnuetzigesKraeuterbuch",3,2
"GemeinnuetzigesKraeuterbuch",4,2
"GemeinnuetzigesKraeuterbuch",5,1
"GemeinnuetzigesKraeuterbuch",17,1
"NatuerlichePflanzenfamilien",1,8
"NatuerlichePflanzenfamilien",2,2
"NatuerlichePflanzenfamilien",12,1
"Kraeuterbuch",1,22
"Kraeuterbuch",2,4
"Kraeuterbuch",8,1
