id,lemma,norm,clean,date,lang_area,lang_type,place,title
86791733,Mischung,Mischung,mischung,1482,obd,enhg,Augsburg,BuchDerNatur
86795286,Nahrung,Nahrung,narung,1482,obd,enhg,Augsburg,BuchDerNatur
86795510,Nahrung,Nahrung,narung ,1482,obd,enhg,Augsburg,BuchDerNatur
86796178,Mischung,Mischung,mischung,1482,obd,enhg,Augsburg,BuchDerNatur
86797284,Meinung,Meinung,meynung,1482,obd,enhg,Augsburg,BuchDerNatur
86804225,Blähung,Blähung,pläung,1482,obd,enhg,Augsburg,BuchDerNatur
86813070,Nahrung,Nahrung,narung,1482,obd,enhg,Augsburg,BuchDerNatur
86821094,Nahrung,Nahrung,narunge,1482,obd,enhg,Augsburg,BuchDerNatur
86822420,Nahrung,Nahrung,narung,1482,obd,enhg,Augsburg,BuchDerNatur
86822756,Nahrung,Nahrung,narung,1482,obd,enhg,Augsburg,BuchDerNatur
86833180,Verstopfung,Leberverstopfung,leberverschopffunge,1482,obd,enhg,Augsburg,BuchDerNatur
86835563,Nahrung,Nahrung,narung,1482,obd,enhg,Augsburg,BuchDerNatur
86836150,Nahrung,Nahrung,narung,1482,obd,enhg,Augsburg,BuchDerNatur
86837319,Verstopfung,Verstopfungen,verstopffunge,1482,obd,enhg,Augsburg,BuchDerNatur
86837371,Verstopfung,Verstopfung,verstopffung,1482,obd,enhg,Augsburg,BuchDerNatur
87479010,Ordnung,Ordnung,ordnung,1487,obd,enhg,Ulm,GartDerGesundheit
87481027,Vergiftigung,Vergiftung,vergifftigung,1487,obd,enhg,Ulm,GartDerGesundheit
87484107,Entwerfung,Entwerfung,entwerffung,1487,obd,enhg,Ulm,GartDerGesundheit
87484124,Konterfeiung,Konterfeiung,kunterfayunge,1487,obd,enhg,Ulm,GartDerGesundheit
87486069,Durchwandrung,Durchwandrung,durchwandrumg|drung,1487,obd,enhg,Ulm,GartDerGesundheit
87487818,Ordnung,Ordnung,ordnung,1487,obd,enhg,Ulm,GartDerGesundheit
87488886,Ergötzung,Ergötzung,ergeczung ,1487,obd,enhg,Ulm,GartDerGesundheit
87488941,Hoffnung,Hoffnung,hoffnung ,1487,obd,enhg,Ulm,GartDerGesundheit
87491541,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87493053,Reizung,Reizung,raiczung,1487,obd,enhg,Ulm,GartDerGesundheit
87493368,Bestopfung,Bestopfung,bestopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87499403,Meinung,Meinung,mainung,1487,obd,enhg,Ulm,GartDerGesundheit
87503560,Schärfung,Schärfung,scherpfung,1487,obd,enhg,Ulm,GartDerGesundheit
87503580,Säuerung,Säuerung,seurung,1487,obd,enhg,Ulm,GartDerGesundheit
87504135,Bestopfung,Bestopfung,bestopffung,1487,obd,enhg,Ulm,GartDerGesundheit
87504642,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87510750,Verstopfung,Verstopfung,verstopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87520047,Bestopfung,Bestopfung,bestopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87520129,Bestopfung,Bestopfung,bestopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87521159,Bestopfung,Bestopfung,bestopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87524891,Abnehmung,Abnehmung,abnemumg|abnemung,1487,obd,enhg,Ulm,GartDerGesundheit
87525552,Stärkung,Stärkung,sterckung,1487,obd,enhg,Ulm,GartDerGesundheit
87533634,Süchtung,Wassersüchtung,wassersüchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87537162,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87537507,Aufmerkung,Aufmerkung,auffmerckumg|auffmerckung,1487,obd,enhg,Ulm,GartDerGesundheit
87549885,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87553308,Feuchtung,Feuchtung,feuchtung ,1487,obd,enhg,Ulm,GartDerGesundheit
87554187,Teuerung,Teuerung,teurung,1487,obd,enhg,Ulm,GartDerGesundheit
87554458,Speisung,Speisung,speisung,1487,obd,enhg,Ulm,GartDerGesundheit
87557286,Feuchtung,Feuchtung,feuchtumg|feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87557608,Feuchtung,Feuchtung,feuchtumg|feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87557700,Feuchtung,Feuchtung,feuchtunge,1487,obd,enhg,Ulm,GartDerGesundheit
87558590,Dämpfung,Dämpfung,dämpfumg|dämpfung,1487,obd,enhg,Ulm,GartDerGesundheit
87562172,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87566786,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87568223,Feuchtung,Feuchtung,feuchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87568506,Verhärtung,Verhärtung,verhertung ,1487,obd,enhg,Ulm,GartDerGesundheit
87578262,Bestopfung,Bestopfung,bestopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87585675,Süchtung,Süchtung,süchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87586090,Stärkung,Stärkung,sterkung,1487,obd,enhg,Ulm,GartDerGesundheit
87587104,Vermischung,Vermischung,vermischung,1487,obd,enhg,Ulm,GartDerGesundheit
87587455,Stopfung,Stopfung,stopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87590586,Feuchtung,Feuchtung,feüchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87590713,Füllung,Füllung,füllung,1487,obd,enhg,Ulm,GartDerGesundheit
87593620,Süchtung,Süchtung,süchtumg|süchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87593843,Ausfallung,Haarausfallung,harauszfallung,1487,obd,enhg,Ulm,GartDerGesundheit
87595355,Ausfallung,Haarausfallung,harauszfallung,1487,obd,enhg,Ulm,GartDerGesundheit
87597514,Feuchtung,Feuchtung,feüchtung,1487,obd,enhg,Ulm,GartDerGesundheit
87605489,Bestopfung,Bestopfung,bestopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87605592,Bestopfung,Bestopfung,bestopfumg|stopfung,1487,obd,enhg,Ulm,GartDerGesundheit
87613835,Kitzelung,Kitzelung,küczlung,1487,obd,enhg,Ulm,GartDerGesundheit
87615128,Verstopfung,Verstopfung,verstopfung,1487,obd,enhg,Ulm,GartDerGesundheit
86650872,Mischung,Mischung,mischuug,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86651318,Fäulung,Faulung,faulung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86653202,Erleuchtung,Erleuchtung,Erleuchtung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86657624,Purgierung,Purgierung,purgierung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86659962,Bestopfung,Bestopfung,bestopffung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86660881,Abnehmung,Abnehmung,abnemung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86661157,Vertreibung,Vertreibung,Vertreibung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86670703,Stärkung,Stärkung,Sterckung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86673170,Schürfung,Schürfung,schürpffung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86674430,Fäulung,Faulung,faulung ,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86674582,Fäulung,Faulung,faulung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86691139,Fristung,Fristung,fristung ,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86692588,Ordnung,Ordnung,ordnung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86699884,Dauung,Däuung,dewung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
86701857,Dauung,Däuung,dewung,1532,md,enhg,Leipzig,ArtzneyBuchleinDerKreutter
