"N","V"
1,0.988283836281141
2,1.95382546978384
3,2.89762243119939
4,3.82062398343463
5,4.72373345275055
6,5.60781045071417
7,6.47367299186412
8,7.32209951178315
9,8.15383079006777
10,8.9695717824947
11,9.76999336649671
12,10.5557340038847
13,11.3274013245818
14,12.0855736349724
15,12.830801354312
16,13.5636083824946
17,14.2844934023296
18,14.9939311193423
19,15.6923734419804
20,16.3802506049815
21,17.0579722385354
22,17.7259283857595
23,18.3844904708908
24,19.0340122204968
25,19.674830539899
26,20.3072663469092
27,20.9316253648833
28,21.5481988770065
29,22.1572644436396
30,22.7590865844721
31,23.3539174271498
32,23.9419973239694
33,24.5235554381578
34,25.0988103011893
35,25.6679703425229
36,26.2312343930821
37,26.7887921637363
38,27.3408246999884
39,27.8875048140138
40,28.4289974951456
41,28.9654602998513
42,29.4970437221931
43,30.0238915457234
44,30.5461411777189
45,31.0639239666159
46,31.5773655034691
47,32.0865859082169
48,32.5917001015006
49,33.0928180627475
50,33.5900450751968
51,34.0834819585138
52,34.5732252896066
53,35.0593676122319
54,35.5419976359461
55,36.0212004249356
56,36.4970575772276
57,36.9696473947673
58,37.4390450448157
59,37.9053227131065
60,38.3685497491752
61,38.8287928042569
62,39.2861159621265
63,39.7405808632395
64,40.1922468225132
65,40.6411709410711
66,41.0874082122579
67,41.5310116222169
68,41.9720322453086
69,42.4105193346327
70,42.8465204079061
71,43.2800813289349
72,43.7112463849062
73,44.1400583597161
74,44.5665586035375
75,44.9907870988231
76,45.4127825229269
77,45.8325823075198
78,46.2502226949664
79,46.6657387918202
80,47.0791646195875
81,47.4905331629018
82,47.8998764152448
83,48.3072254223419
84,48.7126103233527
85,49.1160603899735
86,49.5176040635609
87,49.9172689903796
88,50.3150820550739
89,50.7110694124548
90,51.1052565176943
91,51.4976681550065
92,51.8883284648995
93,52.2772609700703
94,52.664488600016
95,53.0500337144288
96,53.4339181254377
97,53.8161631187601
98,54.1967894738189
99,54.5758174828805
100,54.9532669692654
101,55.3291573046807
102,55.7035074257198
103,56.0763358495744
104,56.4476606889999
105,56.8174996665729
106,57.1858701282799
107,57.5527890564695
108,57.9182730822049
109,58.2823384970455
110,58.6450012642889
111,59.0062770297009
112,59.3661811317608
113,59.7247286114473
114,60.0819342215875
115,60.4378124357942
116,60.7923774570106
117,61.1456432256835
118,61.4976234275844
119,61.8483315012963
120,62.1977806453832
121,62.5459838252586
122,62.8929537797682
123,63.238703027502
124,63.583243872848
125,63.9265884118012
126,64.2687485375415
127,64.6097359457887
128,64.9495621399493
129,65.2882384360627
130,65.6257759675573
131,65.9621856898271
132,66.2974783846348
133,66.6316646643524
134,66.9647549760452
135,67.2967596054077
136,67.6276886805575
137,67.9575521756943
138,68.2863599146307
139,68.614121574199
140,68.9408466875422
141,69.2665446472915
142,69.5912247086382
143,69.9148959923019
144,70.2375674874025
145,70.5592480542373
146,70.8799464269689
147,71.1996712162285
148,71.5184309116351
149,71.8362338842378
150,72.1530883888815
151,72.4690025665009
152,72.7839844463445
153,73.0980419481326
154,73.4111828841503
155,73.7234149612799
156,74.0347457829733
157,74.3451828511684
158,74.6547335681494
159,74.9634052383557
160,75.2712050701393
161,75.5781401774732
162,75.8842175816131
163,76.189444212713
164,76.4938269113975
165,76.7973724302917
166,77.1000874355094
167,77.4019785081031
168,77.7030521454748
169,78.0033147627507
170,78.3027726941198
171,78.601432194138
172,78.8992994389996
173,79.1963805277757
174,79.4926814836219
175,79.7882082549555
176,80.0829667166042
177,80.3769626709255
178,80.6702018488993
179,80.9626899111939
180,81.2544324492061
181,81.5454349860766
182,81.8357029776811
183,82.1252418135978
184,82.4140568180529
185,82.7021532508432
186,82.9895363082379
187,83.2762111238597
188,83.5621827695461
189,83.8474562561905
190,84.132036534565
191,84.4159284961254
192,84.6991369737975
193,84.9816667427466
194,85.2635225211311
195,85.5447089708389
196,85.8252306982087
197,86.1050922547363
198,86.3842981377657
199,86.6628527911669
200,86.9407606059985
201,87.2180259211586
202,87.4946530240216
203,87.7706461510628
204,88.0460094884712
205,88.3207471727505
206,88.5948632913079
207,88.8683618830338
208,89.1412469388686
209,89.4135224023611
210,89.6851921702161
211,89.9562600928325
212,90.2267299748323
213,90.4966055755807
214,90.7658906096972
215,91.0345887475589
216,91.3027036157955
217,91.5702387977762
218,91.8371978340899
219,92.1035842230175
220,92.3694014209975
221,92.6346528430852
222,92.899341863405
223,93.1634718155966
224,93.4270459932556
225,93.6900676503683
226,93.9525400017403
227,94.2144662234209
228,94.4758494531215
229,94.7366927906301
230,94.9969992982198
231,95.2567720010545
232,95.5160138875887
233,95.7747279099645
234,96.0329169844038
235,96.2905839915973
236,96.5477317770901
237,96.8043631516626
238,97.0604808917102
239,97.3160877396183
240,97.5711864041346
241,97.8257795607397
242,98.0798698520134
243,98.333459888
244,98.58655224657
245,98.8391494737806
246,99.0912540842329
247,99.3428685614285
248,99.5939953581228
249,99.8446368966774
250,100.094795569411
251,100.344473738946
252,100.593673738561
253,100.842397872531
254,101.090648416475
255,101.3384276177
256,101.585737695544
257,101.832580841713
258,102.078959220627
259,102.324874969757
260,102.570330199964
261,102.815326995837
262,103.059867416033
263,103.303953493608
264,103.54758723636
265,103.790770627163
266,104.033505624299
267,104.275794161798
268,104.517638149771
269,104.759039474746
270,105
