"N","V"
1,1
2,2
3,2
4,3
5,4
6,4
7,4
8,5
9,5
10,6
11,7
12,8
13,9
14,9
15,10
16,11
17,11
18,12
19,13
20,14
21,15
22,16
23,17
24,18
25,19
26,20
27,20
28,21
29,22
30,23
31,24
32,24
33,24
34,24
35,25
36,25
37,26
38,27
39,28
40,29
41,29
42,30
43,30
44,30
45,30
46,31
47,31
48,32
49,32
50,32
51,32
52,32
53,32
54,32
55,33
56,33
57,33
58,33
59,34
60,34
61,34
62,34
63,34
64,35
65,36
66,36
67,36
68,37
69,37
70,38
71,38
72,38
73,38
74,39
75,39
76,40
77,40
78,41
79,41
80,41
81,42
82,42
83,42
84,42
85,43
86,43
87,44
88,44
89,44
90,45
91,46
92,47
93,47
94,47
95,47
96,47
97,47
98,47
99,48
100,48
101,49
102,49
103,49
104,49
105,49
106,49
107,49
108,49
109,49
110,49
111,49
112,49
113,50
114,50
115,51
116,52
117,52
118,53
119,53
120,54
121,54
122,55
123,55
124,55
125,56
126,56
127,56
128,57
129,58
130,59
131,60
132,60
133,60
134,61
135,61
136,62
137,62
138,62
139,62
140,62
141,63
142,63
143,63
144,63
145,63
146,64
147,64
148,65
149,65
150,66
151,66
152,67
153,67
154,68
155,69
156,69
157,69
158,70
159,71
160,71
161,71
162,71
163,71
164,71
165,72
166,72
167,72
168,73
169,74
170,75
171,76
172,76
173,77
174,77
175,77
176,77
177,77
178,78
179,79
180,79
181,79
182,80
183,80
184,80
185,81
186,81
187,81
188,81
189,81
190,81
191,81
192,81
193,81
194,81
195,81
196,81
197,81
198,81
199,81
200,81
201,81
202,81
203,82
204,82
205,83
206,83
207,83
208,83
209,83
210,83
211,83
212,83
213,84
214,84
215,85
216,86
217,86
218,86
219,87
220,88
221,88
222,88
223,89
224,89
225,89
226,90
227,91
228,91
229,91
230,92
231,92
232,92
233,92
234,92
235,93
236,93
237,93
238,94
239,94
240,95
241,96
242,96
243,96
244,96
245,96
246,97
247,98
248,99
249,99
250,99
251,99
252,99
253,99
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,101
264,101
265,101
266,102
267,103
268,104
269,104
270,105
