"N","V","VV"
1,1.55158331895486,1.17536482898156
2,2.72694814793642,2.03205624005415
3,3.7805339751478,2.78563692172158
4,4.75900438799057,3.47564052739373
5,5.68352374921933,4.11999760881876
6,6.56617089686939,4.7289414047224
7,7.41473547370954,5.30907132094355
8,8.2346449153843,5.86498548677066
9,9.02988947909293,6.40006444498994
10,9.80352135803809,6.91689400475037
11,10.5579474562223,7.41751328219119
12,11.2951123015918,7.9035696655951
13,12.0166181095555,8.37642053394775
14,12.7238067946531,8.83720273773308
15,13.4178178601354,9.28688164334586
16,14.099630402155,9.72628671930278
17,14.7700943113887,10.1561379704515
18,15.4299539240829,10.5770659752829
19,16.0798662686515,10.9896273445625
20,16.7204153627885,11.3943168339332
21,17.3521235710106,11.7915769660958
22,17.9754607384135,12.1818057689844
23,18.5908516174543,12.5653630677823
24,19.1986819671869,12.9425756522322
25,19.7993036077169,13.313741558802
26,20.3930386435032,13.6791336486923
27,20.9801830189052,14.0390026201176
28,21.5610095323862,14.3935795619584
29,22.1357704081901,14.7430781325019
30,22.7046995034813,15.0876964293444
31,23.2680142130522,15.4276186030714
32,23.8259171214577,15.7630162569558
33,24.3785974429154,16.0940496668514
34,24.9262322818403,16.4208688491245
35,25.4689877409744,16.7436144994691
36,26.0070198993658,17.0624188214557
37,26.5404756786717,17.3774062604705
38,27.0694936132141,17.6886941561091
39,27.5942045367278,17.9963933239957
40,28.1147321967216,18.3006085762723
41,28.6311938056985,18.6014391885964
42,29.1437005371065,18.8989793203138
43,29.6523579727452,19.1933183935039
44,30.1572665073979,19.4845414357867
45,30.6585217156569,19.7727293910994
46,31.1562146852366,20.0579594020814
47,31.6504323204973,20.3403050672215
48,32.1412576194191,20.6198366755117
49,32.628769926852,20.8966214210028
50,33.113045166519,21.1707235993582
51,33.5941560539406,21.4422047882454
52,34.0721722921956,21.7111240131855
53,34.5471607522037,21.9775379002894
54,35.0191856390228,22.2415008171468
55,35.4883086454843,22.5030650029861
56,35.9545890943446,22.7622806891065
57,36.4180840699983,23.0191962104661
58,36.878848540692,23.2738581092219
59,37.3369354720728,23.5263112309298
60,37.7923959328257,23.7765988140396
61,38.2452791930698,24.0247625732585
62,38.6956328161236,24.2708427772942
63,39.143502744184,24.5148783214432
64,39.5889333784136,24.7569067954407
65,40.0319676538818,24.9969645469519
66,40.4726471097668,25.2350867410471
67,40.9110119551822,25.4713074159702
68,41.3471011309648,25.7056595354863
69,41.7809523677261,25.9381750380627
70,42.2126022404435,26.1688848831195
71,42.6420862198457,26.397819094563
72,43.0694387208214,26.6250068017982
73,43.4946931480635,26.8504762783988
74,43.9178819391422,27.0742549785988
75,44.3390366051844,27.2963695717568
76,44.7581877693232,27.5168459749302
77,45.1753652030665,27.735709383687
78,45.5905978607235,27.9529843012723
79,46.0039139120163,28.1686945662367
80,46.4153407729939,28.3828633786274
81,46.8249051353572,28.5955133248317
82,47.2326329942949,28.8066664011609
83,47.6385496749241,29.0163440362496
84,48.0426798574202,29.2245671123468
85,48.4450476009167,29.4313559855638
86,48.8456763662491,29.6367305051426
87,49.2445890376105,29.8407100318033
88,49.6418079431846,30.0433134552237
89,50.0373548748132,30.2445592107026
90,50.4312511067563,30.4444652950526
91,50.8235174135935,30.6430492817669
92,51.214174087318,30.8403283355011
93,51.6032409536649,31.0363192259069
94,51.9907373877188,31.2310383408547
95,52.3766823288376,31.4245016990772
96,52.7610942949307,31.616724962266
97,53.1439913961256,31.8077234466503
98,53.5253913478548,31.9975121340836
99,53.9053114833936,32.1861056826661
100,54.2837687658772,32.3735184369258
101,54.6607797998234,32.5597644375806
102,55.036360842186,32.7448574309025
103,55.4105278129631,32.9288108777051
104,55.7832963053811,33.1116379619719
105,56.1546815956761,33.2933515991427
106,56.5246986524932,33.4739644440768
107,56.893362145919,33.6534888987059
108,57.2606864561695,33.8319371193937
109,57.6266856819449,34.0093210240149
110,57.9913736484704,34.185652298767
111,58.3547639152364,34.3609424047278
112,58.716869783451,34.5352025841696
113,59.07770430322,34.7084438666413
114,59.4372802804644,34.8806770748302
115,59.7956102835894,35.0519128302108
116,60.1527066499139,35.2221615584929
117,60.5085814918733,35.3914334948755
118,60.8632467030027,35.559738689117
119,61.2167139637127,35.7270870104279
120,61.5689947468653,35.8934881521946
121,61.9201003231586,36.0589516365414
122,62.2700417663283,36.2234868187377
123,62.618829958174,36.3871028914559
124,62.9664755934177,36.5498088888876
125,63.3129891844011,36.7116136907227
126,63.6583810656272,36.8725260259983
127,64.0026613981557,37.0325544768215
128,64.3458401738542,37.1917074819712
129,64.687927219514,37.3499933403849
130,65.0289322008338,37.5074202145346
131,65.3688646262781,37.6639961336941
132,65.7077338508139,37.8197289971066
133,66.0455490795314,37.9746265770504
134,66.3823193711523,38.1286965218125
135,66.718053641431,38.281946358569
136,67.0527606664511,38.4343834961792
137,67.3864490858238,38.586015227894
138,67.7191274057888,38.7368487339838
139,68.0508040022235,38.8868910842876
140,68.381487123563,39.036149240687
141,68.7111848936346,39.1846300595075
142,69.0399053144087,39.3323402938491
143,69.3676562686716,39.4792865958505
144,69.6944455226196,39.6254755188873
145,70.0202807283804,39.7709135197076
146,70.3451694264623,39.9156069605075
147,70.6691190481344,40.0595621109474
148,70.9921369177409,40.2027851501121
149,71.3142302549499,40.3452821684172
150,71.6354061769412,40.4870591694613
151,71.9556717005333,40.6281220718295
152,72.2750337442534,40.7684767108451
153,72.5934991303502,40.9081288402771
154,72.9110745867536,41.0470841339985
155,73.2277667489814,41.1853481876032
156,73.5435821619958,41.3229265199778
157,73.8585272820111,41.4598245748333
158,74.172608478253,41.5960477221963
159,74.4858320346738,41.7316012598609
160,74.7982041516213,41.8664904148037
161,75.1097309474666,42.0007203445622
162,75.4204184601889,42.1342961385779
163,75.7302726489212,42.2672228195052
164,76.0392993954558,42.3995053444877
165,76.3475045057133,42.5311486064019
166,76.6548937111738,42.6621574350704
167,76.9614726702736,42.792536598445
168,77.2672469697671,42.9222908037598
169,77.5722221260549,43.0514246986576
170,77.8764035864805,43.1799428722877
171,78.1797967305951,43.3078498563774
172,78.4824068713916,43.4351501262777
173,78.7842392565102,43.5618481019844
174,79.0852990694138,43.6879481491347
175,79.3855914305372,43.8134545799798
176,79.6851213984083,43.9383716543351
177,79.9838939707431,44.0627035805081
178,80.2819140855158,44.1864545162051
179,80.5791866220039,44.3096285694159
180,80.8757164018088,44.4322297992794
181,81.1715081898542,44.5542622169288
182,81.4665666953604,44.6757297863171
183,81.760896572798,44.7966364250253
184,82.0545024228191,44.916986005051
185,82.347388793168,45.0367823535805
186,82.6395601795719,45.1560292537427
187,82.9310210266117,45.2747304453474
188,83.2217757285735,45.3928896256064
189,83.511828630282,45.5105104498394
190,83.8011840279148,45.6275965321645
191,84.0898461698001,45.7441514461732
192,84.3778192571968,45.8601787255921
193,84.6651074450575,45.9756818649286
194,84.9517148427759,46.0906643201047
195,85.2376455149182,46.2051295090759
196,85.5229034819384,46.3190808124382
197,85.8074927208795,46.4325215740213
198,86.0914171660597,46.5454551014704
199,86.3746807097441,46.657884666815
200,86.657287202803,46.7698135070267
201,86.9392404553561,46.8812448245651
202,87.220544237404,46.9921817879127
203,87.5012022794464,47.1026275320988
204,87.7812182730885,47.2125851592126
205,88.0605958716342,47.3220577389068
206,88.3393386906682,47.4310483088897
207,88.617450308626,47.5395598754089
208,88.8949342673529,47.6475954137245
209,89.1717940726514,47.7551578685728
210,89.4480331948189,47.8622501546222
211,89.7236550691732,47.9688751569181
212,89.99866309657,48.075035731321
213,90.2730606439077,48.1807347049352
214,90.546851044625,48.2859748765293
215,90.820037599187,48.3907590169484
216,91.0926235755633,48.4950898695195
217,91.364612209696,48.5989701504474
218,91.6360067059598,48.7024025492048
219,91.9068102376124,48.8053897289139
220,92.1770259472374,48.9079343267214
221,92.4466569471782,49.0100389541666
222,92.7157063199642,49.1117061975417
223,92.9841771187289,49.212938618247
224,93.2520723676206,49.3137387531375
225,93.5193950622051,49.4141091148656
226,93.7861481698613,49.5140521922151
227,94.05233463017,49.613570450431
228,94.3179573552946,49.7126663315421
229,94.583019230356,49.8113422546784
230,94.8475231138002,49.9096006163828
231,95.1114718377593,50.007443790917
232,95.3748682084068,50.1048741305615
233,95.6377150063052,50.2018939659115
234,95.9000149867488,50.298505606167
235,96.1617708801001,50.3947113394166
236,96.4229853921197,50.4905134329185
237,96.6836612042914,50.5859141333749
238,96.9438009741406,50.6809156672029
239,97.2034073355486,50.7755202407988
240,97.4624828990599,50.8697300408007
241,97.7210302521855,50.9635472343439
242,97.9790519597001,51.0569739693133
243,98.2365505639351,51.1500123745915
244,98.493528585066,51.2426645603023
245,98.7499885213952,51.3349326180503
246,99.0059328496299,51.4268186211562
247,99.2613640251557,51.5183246248888
248,99.5162844823053,51.6094526666926
249,99.7706966346228,51.7002047664114
250,100.024602875124,51.7905829265093
251,100.278005576551,51.8805891322863
252,100.530907091626,51.9702253520925
253,100.783309753295,52.0594935375368
254,101.035215874977,52.1483956236938
255,101.286627750797,52.2369335293062
256,101.537547655825,52.3251091569844
257,101.787977846309,52.4129243934033
258,102.037920559899,52.5003811094949
259,102.287378015875,52.587481160639
260,102.536352415368,52.6742263868501
261,102.784845941575,52.7606186129615
262,103.032860759972,52.8466596488066
263,103.280399018531,52.9323512893978
264,103.52746284792,53.0176953151012
265,103.774054361712,53.1026934918103
266,104.020175656582,53.1873475711158
267,104.265828812508,53.2716592904736
268,104.511015892965,53.355630373369
269,104.755738945116,53.4392625294799
270,105,53.5225574548368
271,105.243801072722,53.6055168319796
272,105.48714416263,53.6881423301137
273,105.730031253502,53.770435605262
274,105.972464313718,53.8523983004158
275,106.214445296437,53.9340320456831
276,106.455976139773,54.0153384584345
277,106.697058766956,54.0963191434468
278,106.937695086511,54.1769756930452
279,107.177886992412,54.2573096872426
280,107.41763636425,54.3373226938773
281,107.656945067393,54.4170162687481
282,107.895814953142,54.4963919557488
283,108.134247858886,54.5754512869988
284,108.372245608258,54.6541957829731
285,108.609810011281,54.7326269526305
286,108.846942864522,54.8107462935393
287,109.083645951235,54.888555292001
288,109.319921041507,54.9660554231736
289,109.555769892399,55.0432481511912
290,109.791194248088,55.1201349292838
291,110.026195840005,55.1967171998941
292,110.26077638697,55.272996394793
293,110.494937595328,55.3489739351937
294,110.728681159082,55.4246512318638
295,110.962008760021,55.5000296852366
296,111.194922067853,55.5751106855196
297,111.427422740328,55.6498956128027
298,111.659512423367,55.7243858371642
299,111.891192751183,55.7985827187757
300,112.122465346403,55.8724876080054
301,112.35333182019,55.9461018455196
302,112.583793772363,56.0194267623836
303,112.813852791508,56.0924636801609
304,113.043510455099,56.1652139110105
305,113.27276832961,56.2376787577839
306,113.501627970627,56.3098595141196
307,113.730090922961,56.3817574645379
308,113.958158720752,56.4533738845323
309,114.185832887584,56.5247100406623
310,114.413114936585,56.5957671906423
311,114.640006370536,56.6665465834312
312,114.866508681974,56.7370494593202
