"N","V","VV"
1,0.986932694979009,0.961790128559691
2,1.9487228235387,1.85369282443794
3,2.88677998842561,2.68444220065445
4,3.80241564797664,3.46152718139646
5,4.69685065605389,4.19138016764748
6,5.57122218908006,4.87953600092539
7,6.42659011185627,5.53076603154046
8,7.2639428293731,6.14919130347767
9,8.08420266774754,6.73837820716783
10,8.88823082370137,7.30141940130766
11,9.67683191860332,7.84100234670998
12,10.4507581900055,8.35946741332234
13,11.2107133507812,8.8588572031411
14,11.9573561433967,9.34095846606806
15,12.6913036144981,9.80733776393435
16,13.4131341328508,10.2593718525918
17,14.1233901717104,10.69827359704
18,14.8225808749154,11.1251141049409
19,15.5111844243589,11.5408416553649
20,16.189650225009,11.946297908703
21,16.8584009222794,12.3422318074718
22,17.5178342653133,12.729311513784
23,18.1683248286028,13.1081346755758
24,18.8102256033278,13.4792372685529
25,19.4438694688495,13.8431012228809
26,20.0695705539223,14.2001610117012
27,20.687625496398,14.5508093516503
28,21.2983146094648,14.8954021428771
29,21.9019029618034,15.2342627569055
30,22.4986413784324,15.567685764524
31,23.088767368459,15.8959401822103
32,23.6725059854426,16.2192723040348
33,24.2500706256118,16.5379081761847
34,24.8216637687504,16.8520557629454
35,25.3874776661726,17.161906845925
36,25.9476949798563,17.4676386923155
37,26.5024893764691,17.7694155228948
38,27.0520260797238,18.0673898061309
39,27.5964623842245,18.3617034010603
40,28.1359481337121,18.6524885684541
41,28.6706261663836,18.9398688670952
42,29.2006327297511,19.223959949688
43,29.7260978673091,19.5048702709477
44,30.2471457790973,19.7827017187311
45,30.7638951580895,20.0575501776192
46,31.2764595041785,20.3295060331172
47,31.7849474173968,20.598654623569
48,32.2894628718807,20.8650766459586
49,32.79010547197,21.1288485209788
50,33.2869706917303,21.3900427220607
51,33.7801500990804,21.6487280724656
52,34.2697315656235,21.9049700140264
53,34.7557994631932,22.1588308506838
54,35.2384348480483,22.4103699695764
55,35.7177156335814,22.6596440421083
56,36.1937167523419,22.9067072071281
57,36.6665103081099,23.1516112380992
58,37.1361657187089,23.3944056959213
59,37.6027498501872,23.6351380688678
60,38.0663271429564,23.87385390094
61,38.5269597304308,24.1105969097853
62,38.9847075506693,24.3454090952029
63,39.4396284514882,24.5783308391443
64,39.8917782894773,24.8094009980159
65,40.341211023321,25.038656988006
66,40.7879788017965,25.2661348640771
67,41.2321320467964,25.4918693932016
68,41.6737195316958,25.7158941223535
69,42.1127884553642,25.9382414417187
70,42.5493845120976,26.1589426435392
71,42.9835519577312,26.3780279769644
72,43.4153336721719,26.5955266992428
73,43.8447712185734,26.8114671235604
74,44.2719048993639,27.0258766637975
75,44.6967738093179,27.2387818764508
76,45.1194158858547,27.4502084999455
77,45.539867956731,27.6601814915415
78,45.9581657852848,27.8687250620151
79,46.3743441133768,28.0758627082876
80,46.7884367021662,28.2816172441508
81,47.2004763708493,28.4860108292296
82,47.6104950334788,28.689064996308
83,48.0185237339758,28.8908006771363
84,48.4245926794392,29.0912382268238
85,48.8287312718493,29.2903974469154
86,49.2309681382568,29.4882976072414
87,49.6313311595425,29.6849574666218
88,50.0298474978285,29.8803952925027
89,50.4265436226141,30.0746288795902
90,50.8214453357087,30.2676755675511
91,51.2145777950248,30.4595522578341
92,51.6059655372957,30.6502754296713
93,51.9956324997741,30.8398611553058
94,52.3836020409659,31.0283251144954
95,52.769896960451,31.2156826083344
96,53.1545395178392,31.4019485724341
97,53.5375514509058,31.5871375894979
98,53.9189539929488,31.7712639013293
99,54.2987678894092,31.9543414203002
100,54.677013413791,32.136383740314
101,55.0537103829157,32.3174041472882
102,55.428878171546,32.4974156291855
103,55.8025357264091,32.6764308856156
104,56.1747015796499,32.8544623370312
105,56.5453938617409,33.0315221335408
106,56.914630313877,33.2076221633563
107,57.2824282998782,33.3827740608958
108,57.6488048176247,33.5569892145577
109,58.0137765100468,33.7302787741851
110,58.3773596756898,33.9026536582324
111,58.7395702788741,34.0741245606515
112,59.10042395947,34.2447019575113
113,59.459936042303,34.4143961133608
114,59.8181215462092,34.5832170873514
115,60.1749951927538,34.7511747391264
116,60.5305714146302,34.9182787344924
117,60.8848643637524,35.0845385508788
118,61.2378879190549,35.2499634825979
119,61.5896556940133,35.4145626459129
120,61.9401810438964,35.5783449839248
121,62.2894770727635,35.7413192712825
122,62.6375566402161,35.9034941187279
123,62.9844323679147,36.0648779774809
124,63.3301166458722,36.2254791434712
125,63.6746216385305,36.3853057614247
126,64.0179592906324,36.5443658288101
127,64.3601413328949,36.702667199651
128,64.7011792874932,36.8602175882097
129,65.0410844733627,37.0170245725493
130,65.3798680113269,37.1730955979754
131,65.7175408290575,37.3284379803672
132,66.0541136658736,37.4830589093985
133,66.3895970773869,37.6369654516545
134,66.7240014399981,37.7901645536499
135,67.057336955251,37.9426630447491
136,67.3896136540494,38.0944676399952
137,67.7208414007425,38.2455849428502
138,68.0510298970829,38.3960214478496
139,68.3801886860636,38.5457835431749
140,68.7083271556368,38.6948775131475
141,69.0354545423206,38.843309540646
142,69.3615799346956,38.9910857094518
143,69.6867122767988,39.138212006522
144,70.0108603714146,39.2846943241974
145,70.3340328832697,39.4305384623426
146,70.6562383421338,39.5757501304244
147,70.9774851458308,39.7203349495297
148,71.2977815631615,39.8642984543244
149,71.6171357367433,40.0076460949559
150,71.9355556857687,40.1503832389019
151,72.2530493086852,40.2925151727657
152,72.5696243858002,40.4340471040215
153,72.8852885818122,40.5749841627107
154,73.2000494482725,40.7153314030907
155,73.5139144259782,40.8550938052385
156,73.8268908472999,40.99427627661
157,74.1389859384458,41.1328836535566
158,74.4502068216643,41.2709207028007
159,74.7605605173875,41.4083921228721
160,75.070053946317,41.5453025455049
161,75.3786939314546,41.6816565369974
162,75.6864872000789,41.8174585995373
163,75.9934403856706,41.9527131724902
164,76.2995600297867,42.0874246336554
165,76.6048525838869,42.2215973004896
166,76.9093244111121,42.3552354312978
167,77.2129817880177,42.4883432263946
168,77.515830906263,42.6209248292355
169,77.8178778742573,42.7529843275195
170,78.1191287187647,42.8845257542642
171,78.4195893864688,43.0155530888538
172,78.7192657454981,43.1460702580609
173,79.0181635869146,43.2760811370429
174,79.3162886261643,43.4055895503144
175,79.6136465044938,43.5345992726955
176,79.9102427903311,43.6631140302368
177,80.2060829806338,43.7911375011221
178,80.5011725022044,43.9186733165501
179,80.7955167129749,44.0457250615938
