"title","N","V"
"BuchDerNatur",1,1
"BuchDerNatur",2,2
"BuchDerNatur",3,2
"BuchDerNatur",4,3
"GartDerGesundheit",1,1
"GartDerGesundheit",2,1
"GartDerGesundheit",3,1
"GartDerGesundheit",4,2
"GartDerGesundheit",5,2
"GartDerGesundheit",6,3
"GartDerGesundheit",7,4
"GartDerGesundheit",8,5
"ArtzneyBuchleinDerKreutter",1,1
"ArtzneyBuchleinDerKreutter",2,2
"ContrafaytKreuterbuch",1,1
"ContrafaytKreuterbuch",2,2
"ContrafaytKreuterbuch",3,3
"ContrafaytKreuterbuch",4,4
"ContrafaytKreuterbuch",5,5
"ContrafaytKreuterbuch",6,6
"ContrafaytKreuterbuch",7,7
"ContrafaytKreuterbuch",8,8
"ContrafaytKreuterbuch",9,9
"ContrafaytKreuterbuch",10,10
"ContrafaytKreuterbuch",11,11
"ContrafaytKreuterbuch",12,12
"ContrafaytKreuterbuch",13,12
"ContrafaytKreuterbuch",14,13
"ContrafaytKreuterbuch",15,14
"ContrafaytKreuterbuch",16,15
"ContrafaytKreuterbuch",17,16
"ContrafaytKreuterbuch",18,16
"NewKreuetterBuch",1,1
"NewKreuetterBuch",2,2
"NewKreuetterBuch",3,3
"NewKreuetterBuch",4,4
"NewKreuetterBuch",5,5
"NewKreuetterBuch",6,6
"NewKreuetterBuch",7,7
"NewKreuetterBuch",8,8
"NewKreuetterBuch",9,9
"NewKreuetterBuch",10,10
"NewKreuetterBuch",11,11
"NewKreuetterBuch",12,11
"NewKreuetterBuch",13,11
"NewKreuetterBuch",14,12
"NewKreuetterBuch",15,12
"NewKreuetterBuch",16,13
"NewKreuetterBuch",17,13
"NewKreuetterBuch",18,13
"NewKreuetterbbuch",1,1
"NewKreuetterbbuch",2,1
"NewKreuetterbbuch",3,1
"NewKreuetterbbuch",4,1
"NewKreuetterbbuch",5,2
"NewKreuetterbbuch",6,2
"NewKreuetterbbuch",7,2
"WieSichMeniglich",1,1
"WieSichMeniglich",2,2
"WieSichMeniglich",3,2
"WieSichMeniglich",4,2
"WieSichMeniglich",5,2
"WieSichMeniglich",6,2
"WieSichMeniglich",7,3
"WieSichMeniglich",8,4
"NewKreueterbuch",1,1
"NewKreueterbuch",2,2
"NewKreueterbuch",3,3
"Paradeiszgaertlein",1,1
"Paradeiszgaertlein",2,2
"Paradeiszgaertlein",3,2
"Paradeiszgaertlein",4,3
"Paradeiszgaertlein",5,3
"Paradeiszgaertlein",6,4
"Paradeiszgaertlein",7,5
"Paradeiszgaertlein",8,6
"Paradeiszgaertlein",9,6
"Paradeiszgaertlein",10,7
"Paradeiszgaertlein",11,7
"Paradeiszgaertlein",12,7
