"N","V"
1,0.968116433304985
2,1.87861818575831
3,2.73963827351808
4,3.55803554873131
5,4.33959701797801
6,5.0892079662048
7,5.8109950092355
8,6.50844638343693
9,7.18451309589966
10,7.84169398208698
11,8.48210723307304
12,9.10755054671033
13,9.71955171411754
14,10.3194111644716
15,10.9082377485631
16,11.4869788376427
17,12.0564456426171
18,12.6173345144822
19,13.1702448656716
20,13.715694250092
21,14.2541310539476
22,14.7859451774355
23,15.3114770268436
24,15.8310250856936
25,16.3448522907782
26,16.8531914029808
27,17.3562495325276
28,17.8542119529096
29,18.3472453163411
30,18.8355003656678
31,19.3191142225308
32,19.7982123189064
33,20.2729100284653
34,20.7433140452264
35,21.2095235494352
36,21.6716311942575
37,22.1297239415433
38,22.5838837704355
39,23.0341882788243
40,23.4807111944792
41,23.9235228100238
42,24.3626903536745
43,24.7982783057787
44,25.2303486696016
45,25.6589612034736
46,26.0841736202905
47,26.5060417594104
48,26.924619735198
49,27.3399600657979
50,27.7521137851542
51,28.16113054082
52,28.5670586797026
53,28.9699453235525
54,29.3698364357228
55,29.7667768804862
56,30.1608104759975
57,30.55198004182
58,30.9403274417903
59,31.3258936228801
60,31.7087186506073
61,32.0888417414678
62,32.466301292785
63,32.8411349103153
64,33.2133794338948
65,33.5830709613714
66,33.9502448710284
67,34.3149358426763
68,34.6771778775624
69,35.0370043172274
70,35.3944478614182
71,35.7495405851509
72,36.1023139550067
73,36.4527988447274
74,36.8010255501742
75,37.1470238036992
76,37.4908227879777
77,37.8324511493382
78,38.1719370106272
79,38.5093079836385
80,38.8445911811326
81,39.1778132284735
82,39.5090002749004
83,39.8381780044564
84,40.1653716465894
85,40.4906059864424
86,40.8139053748458
87,41.1352937380261
88,41.4547945870412
89,41.7724310269551
90,42.0882257657606
91,42.40220112306
92,42.7143790385124
93,43.0247810800569
94,43.333428451917
95,43.6403420023963
96,43.9455422314707
97,44.2490492981839
98,44.5508830278531
99,44.8510629190896
100,45.1496081506421
101,45.4465375880652
102,45.7418697902212
103,46.0356230156184
104,46.3278152285913
105,46.6184641053273
106,46.9075870397443
107,47.1952011492237
108,47.4813232802022
109,47.7659700136286
110,48.0491576702852
111,48.3309023159832
112,48.6112197666302
113,48.8901255931776
114,49.1676351264486
115,49.4437634618512
116,49.7185254639795
117,49.9919357711055
118,50.2640087995653
119,50.5347587480426
120,50.8041996017511
121,51.0723451365202
122,51.339208922785
123,51.6048043294849
124,51.8691445278715
125,52.1322424952294
126,52.3941110185121
127,52.6547626978947
128,52.9142099502458
129,53.1724650125216
130,53.4295399450827
131,53.6854466349369
132,53.9401967989098
133,54.1938019867438
134,54.4462735841294
135,54.6976228156692
136,54.947860747776
137,55.1969982915085
138,55.4450462053439
139,55.6920150978911
140,55.9379154305444
141,56.1827575200801
142,56.4265515411979
143,56.6693075290064
144,56.9110353814573
145,57.151744861726
146,57.3914456005437
147,57.6301470984784
148,57.8678587281697
149,58.1045897365151
150,58.3403492468123
151,58.5751462608561
152,58.8089896609917
153,59.0418882121262
154,59.2738505636987
155,59.50488525161
156,59.7350007001126
157,59.9642052236629
158,60.1925070287355
159,60.4199142156015
160,60.6464347800701
161,60.8720766151961
162,61.0968475129537
163,61.3207551658759
164,61.5438071686623
165,61.7660110197555
166,61.9873741228855
167,62.2079037885845
168,62.4276072356728
169,62.6464915927142
170,62.8645638994451
171,63.0818311081744
172,63.298300085158
173,63.5139776119454
174,63.7288703867023
175,63.9429850255065
176,64.1563280636206
177,64.3689059567396
178,64.5807250822155
179,64.7917917402593
180,65.0021121551198
181,65.2116924762414
182,65.420538779399
183,65.6286570678138
184,65.8360532732468
185,66.0427332570736
186,66.2487028113385
187,66.4539676597899
188,66.6585334588971
189,66.862405798848
190,67.0655902045295
191,67.2680921364898
192,67.4699169918837
193,67.6710701054008
194,67.8715567501775
195,68.0713821386926
196,68.2705514236466
197,68.4690696988267
198,68.6669419999553
199,68.8641733055242
200,69.0607685376148
201,69.2567325627025
202,69.452070192449
203,69.6467861844794
204,69.8408852431467
205,70.0343720202828
206,70.2272511159368
207,70.419527079101
208,70.6112044084234
209,70.8022875529098
210,70.9927809126124
211,71.182688839308
212,71.3720156371636
213,71.5607655633925
214,71.7489428288975
215,71.9365515989048
216,72.1235959935869
217,72.3100800886751
218,72.4960079160616
219,72.6813834643927
220,72.8662106796509
221,73.0504934657288
222,73.2342356849923
223,73.4174411588359
224,73.6001136682281
225,73.7822569542481
226,73.9638747186146
227,74.1449706242049
228,74.3255482955664
229,74.5056113194203
230,74.6851632451557
231,74.8642075853181
232,75.0427478160881
233,75.2207873777535
234,75.3983296751742
235,75.5753780782391
236,75.7519359223161
237,75.9280065086952
238,76.1035931050246
239,76.2786989457401
240,76.4533272324875
241,76.627481134539
242,76.8011637892026
243,76.9743783022257
244,77.1471277481924
245,77.3194151709143
246,77.4912435838159
247,77.6626159703137
248,77.8335352841902
249,78.0040044499611
250,78.1740263632384
251,78.3436038910866
252,78.5127398723747
253,78.6814371181223
254,78.8496984118407
255,79.017526509869
256,79.1849241417051
257,79.3518940103317
258,79.5184387925379
259,79.6845611392355
260,79.8502636757712
261,80.0155490022337
262,80.1804196937569
263,80.344878300818
264,80.5089273495319
265,80.672569341941
266,80.8358067563009
267,80.9986420473618
268,81.1610776466463
269,81.3231159627225
270,81.4847593814741
271,81.6460102663659
272,81.8068709587058
273,81.9673437779032
274,82.1274310217235
275,82.2871349665391
276,82.4464578675771
277,82.6054019591631
278,82.7639694549619
279,82.9221625482147
280,83.0799834119731
281,83.2374341993297
282,83.3945170436457
283,83.5512340587752
284,83.7075873392862
285,83.8635789606795
286,84.019210979603
287,84.1744854340647
288,84.3294043436418
289,84.4839697096871
290,84.638183515533
291,84.7920477266925
292,84.9455642910569
293,85.0987351390921
294,85.2515621840312
