"N","V"
1,1
2,2
3,2
4,3
5,4
6,5
7,6
8,6
9,7
10,8
11,9
12,10
13,11
14,11
15,12
16,13
17,13
18,13
19,14
20,15
21,16
22,17
23,18
24,19
25,19
26,20
27,20
28,20
29,20
30,21
31,22
32,22
33,23
34,23
35,23
36,23
37,23
38,23
39,23
40,23
41,24
42,24
43,25
44,25
45,25
46,26
47,26
48,26
49,26
50,27
51,27
52,27
53,27
54,27
55,27
56,27
57,27
58,27
59,27
60,28
61,28
62,28
63,28
64,28
65,28
66,28
67,29
68,29
69,29
70,29
71,29
72,29
73,29
74,29
75,29
76,30
77,30
78,30
79,30
80,30
81,30
82,30
83,30
84,30
85,30
86,30
87,30
88,30
89,30
90,30
91,30
92,30
93,30
94,31
95,31
96,31
97,31
98,31
99,32
100,33
101,33
102,33
103,33
104,33
105,33
106,34
107,34
108,34
109,34
110,34
111,34
112,34
113,34
114,34
115,34
116,34
117,34
118,34
119,35
120,35
121,35
122,36
123,36
124,36
125,36
126,36
127,36
128,37
129,37
130,38
131,38
132,38
133,38
134,38
135,39
136,39
137,39
138,40
139,40
140,40
141,40
142,40
143,40
144,41
145,41
146,41
147,42
148,43
149,43
150,43
151,43
152,43
153,44
154,45
155,46
156,47
157,47
158,47
159,47
160,48
161,48
162,48
163,48
164,48
165,49
166,49
167,49
168,49
169,49
170,49
171,49
172,49
173,49
174,49
175,49
176,49
177,49
178,49
179,49
180,49
181,49
182,49
183,49
184,49
185,49
186,49
187,50
188,50
189,50
190,51
191,52
192,52
193,52
194,52
195,52
196,52
197,52
198,52
199,52
200,52
201,52
202,52
203,52
204,53
205,53
206,53
207,54
208,54
209,55
210,55
211,55
212,55
213,56
214,56
215,57
216,57
217,57
218,57
219,57
220,57
221,57
222,57
223,57
224,57
225,57
226,57
227,57
228,57
229,58
230,58
231,58
232,58
233,58
234,58
235,58
236,58
237,59
238,59
239,59
240,59
241,60
242,60
243,61
244,61
245,61
246,61
247,61
248,61
249,62
250,62
251,62
252,63
253,63
254,63
255,63
256,63
257,63
258,63
259,63
260,64
261,64
262,64
263,64
264,64
265,64
266,64
267,65
268,66
269,66
270,66
271,66
272,66
273,66
274,66
275,66
276,66
277,66
278,66
279,66
280,66
281,66
282,67
283,68
284,69
285,70
286,71
287,71
288,71
289,71
290,71
291,71
292,71
293,71
294,71
295,71
296,71
297,71
298,71
299,71
300,71
301,71
302,72
303,73
304,73
305,73
306,73
307,73
308,73
309,73
310,73
311,73
312,73
313,74
314,74
315,74
316,74
317,74
318,74
319,74
320,74
321,74
322,74
323,74
324,74
325,74
326,74
327,75
328,75
329,76
330,76
331,76
332,76
333,76
334,76
335,76
336,76
337,76
338,76
339,76
340,76
341,76
342,76
343,76
344,76
345,76
346,76
347,76
348,76
349,76
350,76
351,76
352,76
353,76
354,76
355,76
356,76
357,76
358,76
359,76
360,76
361,76
362,76
363,76
364,76
365,76
366,76
367,76
368,76
369,76
370,76
371,76
372,76
373,76
374,76
375,76
376,76
377,76
378,76
379,76
380,76
381,76
382,76
383,76
384,76
385,76
386,76
387,76
388,76
389,76
390,76
391,76
392,76
393,76
394,76
395,76
396,76
397,76
398,76
399,76
400,76
401,76
402,76
403,77
404,77
405,78
406,79
407,79
408,79
409,79
410,80
411,80
412,80
413,80
414,81
415,81
416,82
417,83
418,83
419,83
420,83
421,83
422,84
423,84
424,85
425,85
426,85
427,85
428,85
429,85
430,85
431,85
432,85
433,85
434,85
435,85
436,85
437,85
438,85
439,85
440,85
441,85
442,85
443,85
444,85
445,85
446,85
447,85
448,85
449,85
450,85
451,85
452,85
453,85
454,85
455,86
456,86
457,86
458,86
459,86
460,86
461,86
462,86
463,86
464,86
465,86
466,87
467,88
468,88
469,88
470,88
471,88
472,88
473,88
474,88
475,88
476,89
477,89
478,89
479,89
480,90
481,90
482,90
483,90
484,90
485,90
486,91
487,91
488,91
489,91
490,91
491,91
492,91
493,91
494,91
495,91
496,92
497,92
498,93
499,93
500,93
501,93
502,93
503,94
504,94
505,95
506,96
507,96
508,96
509,96
510,96
511,97
512,97
513,97
514,98
515,98
516,99
517,99
518,99
519,99
520,99
521,100
522,100
523,101
524,101
525,102
526,103
527,104
528,104
529,104
530,104
531,104
532,104
533,104
534,104
535,104
536,104
537,104
538,104
539,104
540,104
541,104
542,105
543,105
544,105
545,105
546,105
547,105
548,105
549,105
550,105
551,106
552,107
553,107
554,107
555,107
556,107
557,108
558,108
559,108
560,108
561,108
562,108
563,108
564,108
565,108
566,108
567,108
568,108
569,108
570,109
571,109
572,109
573,109
574,109
575,109
576,109
577,109
578,109
579,109
580,110
581,110
582,110
583,110
584,110
585,110
586,110
587,110
588,111
589,111
590,111
591,111
592,111
593,111
594,111
595,111
596,111
597,112
598,112
599,113
600,114
601,114
602,114
603,114
604,115
605,115
606,115
607,115
608,115
609,115
610,115
611,115
612,115
613,116
614,117
615,117
616,117
617,118
618,118
619,119
620,119
621,119
622,120
623,121
624,121
625,121
626,122
627,122
628,122
629,122
630,123
631,123
632,123
633,124
634,124
635,125
636,126
637,126
638,126
639,126
640,126
641,126
642,126
643,126
644,126
645,126
646,126
647,126
648,126
649,126
650,126
651,126
652,126
