"N","V","VV"
1,1.2952254670118,0.963061285541341
2,2.25828675255314,1.64887909064857
3,3.11529137620839,2.24622782781724
4,3.90716584320171,2.78927649549226
5,4.65240026140671,3.29346221235012
6,5.36151920402563,3.76757176747537
7,6.04129607349875,4.21726014238365
8,6.69644233869397,4.64646083494793
9,7.33041696043775,5.05806163909312
10,7.94586247375682,5.45426872464423
11,8.54486045940749,5.83681992745037
12,9.129090971501,6.20711785360279
13,9.69993708003501,6.56631716074359
14,10.2585562158824,6.9153841231438
15,10.8059304894365,7.2551386421383
16,11.3429031736419,7.58628470537216
17,11.8702057853155,7.90943299667119
18,12.3884785995309,8.22511802325658
19,12.8982864666129,8.53381132116397
20,13.4001311984011,8.83593179638709
21,13.8944614024861,9.13185393536386
22,14.3816803868579,9.42191440447238
23,14.8621525841514,9.70641741355741
24,15.3362088251038,9.98563911867608
25,15.8041507067514,10.2598312690537
26,16.2662542407786,10.5292242530461
27,16.7227729237751,10.7940296614613
28,17.1739403390262,11.0544424597627
29,17.6199723754943,11.3106428406699
30,18.0610691315748,11.5627978135825
31,18.4974165574213,11.8110625757369
32,18.9291878790141,12.0555817011445
33,19.3565448388916,12.2964901764637
34,19.7796387819867,12.5339143075505
35,20.1986116098899,12.7679725161633
36,20.6135966227874,12.998776042885
37,21.024719265046,13.2264295696042
38,21.4320977877769,13.451031772681
39,21.8358438395642,13.6726758161397
40,22.2360629947881,13.8914497927589
41,22.6328552275293,14.1074371197289
42,23.02631533785,14.3207168945491
43,23.4165333362579,14.5313642160112
44,23.8035947913302,14.7394504744275
45,24.187581144786,14.9450436146799
46,24.5685699977088,15.148208375185
47,24.9466353711323,15.3490065054526
48,25.3218479437799,15.5474969645725
49,25.6942752693966,15.743736102662
50,26.0639819758051,15.9377778270553
51,26.4310299475565,16.1296737547966
52,26.7954784938247,16.3194733528128
53,27.1573845029954,16.5072240669785
54,27.5168025852364,16.6929714411456
55,27.8737852041885,16.8767592270907
56,28.2283827987889,17.058629486224
57,28.5806438961309,17.2386226838148
58,28.9306152161642,17.4167777764037
59,29.2783417689557,17.5931322930052
60,29.6238669451574,17.7677224106379
61,29.9672326002606,17.9405830246675
62,30.3084791331582,18.111747814397
63,30.6476455594846,18.2812493042983
64,30.9847695801586,18.4491189212365
65,31.3198876455126,18.6153870480116
66,31.6530350153553,18.7800830735039
67,31.9842458152849,18.9432354396886
68,32.3135530895372,19.104871685759
69,32.640988850632,19.2650184895747
70,32.9665841260531,19.4237017066348
71,33.2903690021805,19.5809464067561
72,33.6123726656725,19.7367769086225
73,33.9326234424786,19.8912168123564
74,34.2511488346503,20.0442890302517
75,34.5679755551013,20.1960158157944
76,34.8831295604579,20.346418791089
77,35.1966360821274,20.4955189727974
78,35.5085196557039,20.6433367966893
79,35.8188041488203,20.7898921408953
80,36.127512787547,20.935204347947
81,36.4346681814305,21.0792922456812
82,36.7402923472582,21.2221741670812
83,37.0444067316283,21.3638679691199
84,37.3470322323991,21.5043910506674
85,37.648189219086,21.6437603695205
86,37.9478975522691,21.7819924586054
87,38.2461766020708,21.9191034414049
88,38.5430452657577,22.0551090466539
89,38.8385219845189,22.1900246223469
90,39.132624759466,22.3238651490968
91,39.4253711669012,22.4566452528815
92,39.7167783728938,22.5883792172143
93,40.0068631472032,22.7190809947672
94,40.2956418765849,22.8487642184804
95,40.5831305775133,22.9774422121846
96,40.8693449083523,23.1051280007613
97,41.1543001810035,23.2318343198685
98,41.4380113720586,23.3575736252512
99,41.7204931334843,23.4823581016623
100,42.0017598028604,23.6061996714101
101,42.2818254131975,23.7291100025552
102,42.5607037023531,23.8511005167715
103,42.8384081220674,23.9721823968903
104,43.1149518466375,24.0923665941422
105,43.390347781248,24.2116638351124
106,43.6646085699739,24.3300846284217
107,43.9377466034731,24.4476392711494
108,44.209774026382,24.5643378550074
109,44.4807027444291,24.6801902722794
110,44.7505444312792,24.795206221535
111,45.0193105351214,24.9093952131302
112,45.2870122850129,25.0227665745027
113,45.553660696988,25.1353294552738
114,45.8192665799457,25.2470928321625
115,46.0838405413234,25.3580655137231
116,46.3473929925679,25.4682561449124
