"N","V","VV"
1,0.969007907661049,0.912986110464505
2,1.88199401812555,1.68753330618689
3,2.74670203659939,2.36317471261663
4,3.56952732431245,2.96635268791047
5,4.35577697905448,3.5150376964193
6,5.10987674921601,4.0216544621575
7,5.83553606502003,4.49495243442106
8,6.53588001222292,4.9412129909733
9,7.21355516125955,5.36503662643297
10,7.87081467547378,5.76986191125945
11,8.50958696067477,6.15831161061652
12,9.13153121137351,6.53242636600677
13,9.73808249991877,6.89382449675252
14,10.3304884994411,7.24381274320814
15,10.9098394959965,7.58346407446844
16,11.4770930031962,7.91367313114745
17,12.0330940234374,8.23519630133127
18,12.5785917876925,8.54868110962633
19,13.1142536383061,8.85468808165235
20,13.6406765867332,9.15370724377867
21,14.1583969731297,9.44617074934031
22,14.6678985712913,9.73246267242474
23,15.1696194160611,10.0129267042411
24,15.6639575773803,10.2878722768761
25,16.151276062838,10.5575794934114
26,16.6319069966713,10.8223031411741
27,17.1061551959362,11.0822759925232
28,17.5743012426492,11.3377115458116
29,18.0366041330059,11.5888063217544
30,18.4933035704649,11.8357418031185
31,18.9446219578715,12.0786860855161
32,19.3907661343437,12.3177952920791
33,19.831928894933,12.553214793513
34,20.2682903247687,12.7850802664644
35,20.7000189742153,13.0135186165658
36,21.1272728973188,13.2386487874506
37,21.5502005723016,13.4605824730618
38,21.9689417199584,13.6794247474625
39,22.3836280333914,13.895274623884
40,22.7943838305119,14.1082255527643
41,23.201326639058,14.3183658669387
42,23.60456772247,14.5257791808492
43,24.004212553785,14.7305447495847
44,24.400361243716,14.9327377926901
45,24.7931089282398,15.1324297869699
46,25.1825461203022,15.3296887319089
47,25.5687590296475,15.5245793908346
48,25.9518298542564,15.7171635105252
49,26.3318370464392,15.907500021611
50,26.7088555562494,16.0956452218168
51,27.0829570545577,16.2816529438347
52,27.4542101378454,16.4655747093979
53,27.8226805165346,16.6474598709372
54,28.1884311884593,16.8273557420394
55,28.5515225989023,17.0053077177837
56,28.9120127884609,17.1813593859168
57,29.2699575298661,17.3555526297112
58,29.6254104547603,17.527927723269
59,29.9784231713278,17.6985234199448
60,30.3290453735834,17.8673770344934
61,30.6773249430376,18.0345245194859
62,31.0233080433876,18.2000005364813
63,31.367039208816,18.363838522391
64,31.7085614264227,18.5260707514353
65,32.0479162132667,18.6867283930453
66,32.385143688446,18.845841566037
67,32.7202826406066,19.0034393893479
68,33.0533705912331,19.1595500296049
69,33.3844438540435,19.314200745762
70,33.7135375907811,19.4674179310313
71,34.0406858636683,19.619227152305
72,34.3659216847695,19.7696531872538
73,34.6892770624823,19.9187200592675
74,35.0107830453634,20.0664510703921
75,35.3304697634746,20.2128688324036
76,35.6483664674209,20.3579952961468
77,35.9645015652382,20.5018517792579
78,36.2789026572754,20.6444589923801
79,36.5915965692035,20.7858370639717
80,36.9026093832762,20.9260055637997
81,37.211966467954,21.0649835252033
82,37.5196925059967,21.2027894662071
83,37.825811521122,21.3394414095562
84,38.1303469033193,21.4749569017402
85,38.4333214329009,21.6093530310695
86,38.7347573033697,21.7426464448605
87,39.0346761431724,21.8748533657849
88,39.3330990364062,22.0059896074312
89,39.6300465425403,22.1360705891265
90,39.9255387152097,22.2651113500604
91,40.2195951201337,22.3931265627524
92,40.5122348522112,22.5201305458991
93,40.8034765518365,22.6461372766366
94,41.0933384204821,22.7711604022512
95,41.3818382355856,22.8952132513679
96,41.6689933647816,23.0183088446463
97,41.9548207795121,23.1404599050096
98,42.2393370680502,23.2616788674317
99,42.522558447966,23.3819778883068
100,42.8045007780662,23.5013688544222
101,43.0851795698338,23.6198633915552
102,43.3646099983924,23.737472872714
103,43.6428069130213,23.8542084260401
104,43.9197848472433,23.9700809423892
105,44.1955580285048,24.0851010826071
106,44.4701403874718,24.199279284515
107,44.7435455669571,24.3126257696193
108,45.0157869304987,24.4251505495589
109,45.2868775706054,24.5368634323017
110,45.5568303166861,24.6477740281035
111,45.8256577426763,24.7578917552405
112,46.0933721743777,24.8672258455244
113,46.3599856965226,24.9757853496125
114,46.6255101595773,25.08357914212
115,46.8899571862948,25.190615926545
116,47.1533381780294,25.296904240014
117,47.4156643208227,25.4024524578563
