"period","N","V"
"1482-1549",1,1
"1482-1549",2,2
"1482-1549",3,2
"1482-1549",4,3
"1482-1549",5,4
"1482-1549",6,5
"1482-1549",7,6
"1482-1549",8,6
"1482-1549",9,7
"1482-1549",10,8
"1482-1549",11,9
"1482-1549",12,10
"1482-1549",13,11
"1482-1549",14,11
"1482-1549",15,12
"1482-1549",16,13
"1482-1549",17,13
"1482-1549",18,13
"1482-1549",19,14
"1482-1549",20,15
"1482-1549",21,16
"1482-1549",22,17
"1482-1549",23,18
"1482-1549",24,19
"1482-1549",25,19
"1482-1549",26,20
"1482-1549",27,20
"1482-1549",28,20
"1482-1549",29,20
"1482-1549",30,21
"1482-1549",31,22
"1482-1549",32,22
"1482-1549",33,23
"1482-1549",34,23
"1482-1549",35,23
"1482-1549",36,23
"1482-1549",37,23
"1482-1549",38,23
"1482-1549",39,23
"1482-1549",40,23
"1482-1549",41,24
"1482-1549",42,24
"1482-1549",43,25
"1482-1549",44,25
"1482-1549",45,25
"1482-1549",46,26
"1482-1549",47,26
"1482-1549",48,26
"1482-1549",49,26
"1482-1549",50,27
"1482-1549",51,27
"1482-1549",52,27
"1482-1549",53,27
"1482-1549",54,27
"1482-1549",55,27
"1482-1549",56,27
"1482-1549",57,27
"1482-1549",58,27
"1482-1549",59,27
"1482-1549",60,28
"1482-1549",61,28
"1482-1549",62,28
"1482-1549",63,28
"1482-1549",64,28
"1482-1549",65,28
"1482-1549",66,28
"1482-1549",67,29
"1482-1549",68,29
"1482-1549",69,29
"1482-1549",70,29
"1482-1549",71,29
"1482-1549",72,29
"1482-1549",73,29
"1482-1549",74,29
"1482-1549",75,29
"1482-1549",76,30
"1482-1549",77,30
"1482-1549",78,30
"1482-1549",79,30
"1482-1549",80,30
"1482-1549",81,30
"1482-1549",82,30
"1482-1549",83,30
"1482-1549",84,30
"1482-1549",85,30
"1482-1549",86,30
"1482-1549",87,30
"1482-1549",88,30
"1482-1549",89,30
"1482-1549",90,30
"1482-1549",91,30
"1482-1549",92,30
"1482-1549",93,30
"1482-1549",94,31
"1482-1549",95,31
"1482-1549",96,31
"1482-1549",97,31
"1482-1549",98,31
"1482-1549",99,32
"1482-1549",100,33
"1482-1549",101,33
"1482-1549",102,33
"1482-1549",103,33
"1482-1549",104,33
"1482-1549",105,33
"1482-1549",106,34
"1482-1549",107,34
"1482-1549",108,34
"1482-1549",109,34
