"N","V","VV"
1,2.25912301220595,1.54254336977149
2,3.80166638197744,2.56932808631335
3,5.14498743580794,3.45273166620699
4,6.37099446829079,4.25170911960884
5,7.51531707285394,4.99190550430269
6,8.59771910201493,5.68754621717534
7,9.63066998874796,6.34760636153499
8,10.6227035878996,6.97822833543483
9,11.5799994809942,7.58386000509712
10,12.5072225771566,8.1678590232294
11,13.4080088772618,8.73284246676791
12,14.2852653191903,9.28090265605497
13,15.1413644910969,9.81374730332072
14,15.978276350283,10.3327943197806
15,16.7976603812006,10.839238148067
16,17.6009319233345,11.3340975029496
17,18.3893110718555,11.8182505684869
18,19.1638594860913,12.2924614916053
19,19.9255086016397,12.7574006882899
20,20.675081600386,13.2136606569112
21,21.4133107624087,13.6617684675809
22,22.1408513440297,14.1021957511356
23,22.8582928036276,14.5353667791238
24,23.5661679752452,14.9616650666795
25,24.2649606349385,15.3814388185429
26,24.9551117944176,15.795005459024
27,25.6370249767113,16.2026554292605
28,26.3110706700636,16.6046553929924
29,26.9775901128058,17.0012509607932
30,27.6368985292677,17.3926690191775
31,28.2892879119711,17.7791197331361
32,28.935029426284,18.1607982769308
33,29.5743754989479,18.5378863373494
34,30.2075616403424,18.9105534253157
35,30.8348080412554,19.2789580251942
36,31.4563209776967,19.6432486059299
37,32.0722940515165,20.0035645140075
38,32.6829092899296,20.3600367648535
39,33.2883381232797,20.7127887466006
40,33.8887422572972,21.0619368479111
41,34.4842744535853,21.4075910197468
42,35.0750792299896,21.7498552794722
43,35.6612934907827,22.0888281644422
44,36.2430470951653,22.4246031411911
45,36.8204633713828,22.7572689754771
46,37.3936595827514,23.086910067714
47,37.9627473510389,23.4136067577069
48,38.5278330419248,23.737435602094
49,39.0890181166543,24.058469627457
50,39.6463994534813,24.3767785616845
51,40.2000696420442,24.6924290458552
52,40.7501172534417,25.0054848286299
53,41.2966270884416,25.3160069449039
54,41.8396804059717,25.6240538802685
55,42.3793551337951,25.9296817226468
56,42.915726063056,26.2329443023239
57,43.4488650281997,26.5338933214457
58,43.978841073599,26.8325784739518
59,44.5057206080844,27.1290475568027
60,45.0295675484452,27.4233465732656
61,45.5504434528585,27.7155198289537
62,46.0684076451072,28.0056100212336
63,46.5835173303605,28.2936583225608
64,47.0958277032148,28.5797044582444
65,47.6053920486251,28.8637867790939
66,48.1122618362973,29.1459423293597
67,48.6164868090559,29.4262069103384
68,49.1181150656582,29.7046151399783
69,49.6171931384783,29.9812005087951
70,50.1137660664495,30.255995432373
71,50.6078774636173,30.5290313007076
72,51.0995695836266,30.8003385246206
73,51.588883380435,31.0699465794607
74,52.0758585655241,31.337884046281
75,52.5605336618529,31.6041786506749
76,53.0429460547831,31.8688572994284
77,53.5231320401795,32.1319461151427
78,54.0011268698803,32.3934704689619
79,54.4769647947116,32.6534550115334
80,54.9506791052083,32.9119237023171
81,55.4223021701901,33.1688998373525
82,55.8918654733321,33.4244060755795
83,56.3593996478563,33.6784644638092
84,56.8249345094618,33.9310964604259
85,57.2884990876043,34.1823229579007
86,57.7501216552249,34.43216430419
87,58.2098297570222,34.6806403230841
88,58.6676502363564,34.9277703335727
89,59.1236092608636,35.1735731682808
90,59.5777323468598,35.4180671910339
91,60.0300443826007,35.6612703135998
92,60.4805696504654,35.9032000116557
93,60.9293318481238,36.1438733400242
94,61.3763541087458,36.3833069472184
95,61.8216590203035,36.6215170893361
96,62.2652686440187,36.8585196433364
97,62.7072045319994,37.0943301197353
